v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median,x,y
3501,"Generación, transmisión y distribución de energía eléctrica","D. Suministro de Electricidad, Gas, Vapor y Aire Acondicionado ","BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.9922, 0.7529, 0.5255, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",140828.74,140828.74,8.95,8.52,8.87,9.62,14.3,85.7,40.29,5.12,52.81,49.0,-0.014401037514252011,-0.0371832025748806
3502,Fabricación de gas,"D. Suministro de Electricidad, Gas, Vapor y Aire Acondicionado ","BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.9922, 0.7529, 0.5255, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",42441.91,42441.91,9.04,8.75,9.18,9.39,25.42,74.58,41.23,3.61,46.02,43.0,0.18806464550699117,0.017127849561868806
3600,"Captación, tratamiento y suministro de agua",E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",53658.18,53658.18,9.01,8.39,8.85,9.39,11.72,88.28,46.16,4.8,49.81,45.0,0.1798294182837264,-0.0653813727317408
3700,Alcantarillado,E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1579.0,1579.0,8.12,8.09,8.12,8.14,0.0,100.0,100.0,2.93,60.8,62.0,0.5733169446204489,0.19027169949930392
3800,"Recolección, tratamiento y eliminación de desechos",E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",115410.36,115410.36,8.38,7.57,8.44,8.88,20.95,79.05,28.71,3.51,39.31,37.5,-0.07940958002291884,-0.29330516637194964
3900,Actividades de saneamiento,E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",6487.21,6487.21,8.27,8.24,8.67,9.08,67.96,32.04,90.3,7.04,36.41,47.0,0.29063505242594434,-0.15725562719670874
4000,Construcción,F. Construcción,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2996444.55,2996444.55,8.44,7.9,8.35,8.85,4.46,95.54,5.09,3.84,40.52,37.0,-0.5050940434615181,-0.062307499189239474
4501,Venta de vehículos automotores,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",108744.11,108744.11,8.96,8.01,8.73,9.22,16.06,83.94,0.0,5.42,43.97,40.0,-0.09633114698207174,-0.01046157351235012
4502,Reparación de vehículos,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",553182.25,553182.25,8.52,7.82,8.51,8.92,6.2,93.8,0.06,4.13,43.94,41.0,-0.15764567747072739,0.16806437734394497
4503,"Venta de partes, piezas y accesorios de vehículos",G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",75302.13,75302.13,8.89,8.33,8.8,9.3,18.97,81.03,0.0,4.86,44.12,43.5,-0.12891965694802132,0.040467762012276
4504,"Venta, mantenimiento y reparación de motocicletas",G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",60513.89,60513.89,7.73,7.6,7.94,8.7,7.88,92.12,0.0,3.56,33.46,30.0,-0.035014739198455505,0.11759307255558077
4800,Comercio (general),G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",564154.71,564154.71,8.6,7.82,8.52,8.99,55.95,44.05,0.0,4.98,43.48,39.0,-0.3206600473449007,0.04950369270653731
4801,Comercio de intermediación,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",179420.32,179420.32,8.69,8.01,8.74,9.21,40.96,59.04,0.0,5.73,38.49,33.5,-0.11885535257221373,-0.004928329563662346
4802,Comercio de materias primas agropecuarias,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",69356.73,69356.73,8.06,7.53,8.22,8.63,49.73,50.27,0.0,4.04,34.59,35.0,-0.11459635364968412,0.05248734125305492
4803,Comercio alimentos/bebidas,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",689344.72,689344.72,8.13,7.6,8.06,8.7,51.46,48.54,1.48,4.34,39.04,35.0,-0.34022975728115235,0.04497425852337389
4804,Comercio textiles y avíos,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",655236.92,655236.92,8.1,7.6,8.29,8.84,82.84,17.16,0.04,5.04,38.28,33.0,-0.35961910389620416,0.03471801410777838
4805,Comercio de materiales de construcción,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",205981.76,205981.76,8.77,8.09,8.7,8.99,22.54,77.46,0.0,4.76,44.86,46.5,-0.23890177692162431,0.02592626539384745
4806,Comercio de combustibles para vehículos,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",88603.59,88603.59,8.89,8.35,8.85,9.05,36.44,63.56,4.94,4.79,42.75,38.0,-0.19825337200715898,0.07521223151217214
4807,Comercio mercaderías n.c.p.,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",585942.04,585942.04,8.41,8.01,8.48,8.99,49.29,50.71,0.0,5.25,43.11,44.0,-0.30054590951224625,0.0321859340329764
4808,Tiendas no especializadas,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",970849.55,970849.55,8.37,7.86,8.42,8.92,62.53,37.47,0.19,4.51,40.14,39.0,-0.3696014127725456,0.05446220642148021
4809,Tiendas no especializadas sin predomina,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",110086.75,110086.75,8.42,7.66,8.32,8.99,56.3,43.7,0.0,5.76,39.56,40.0,-0.18618332443355787,0.015776381879782336
4810,Venta al por menor en puestos móviles y,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",165093.91,165093.91,8.07,7.5,8.01,8.49,50.35,49.65,0.0,4.04,40.76,43.0,-0.2412304575125685,0.07388953381622729
4811,Venta al por menor por correo o televisión,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",93092.05,93092.05,7.78,6.62,7.34,8.25,73.86,26.14,0.0,4.96,39.23,37.0,-0.1500703853205503,0.03943608429777686
4900,Transporte (general),H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",9754.81,9754.81,9.36,8.69,9.05,9.41,24.4,75.6,0.0,4.9,38.44,39.0,0.3295173162407169,0.0305956776844306
4901,Transporte ferroviario,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",109026.68,109026.68,9.11,8.3,8.74,9.21,2.93,97.07,86.27,4.3,55.58,66.0,0.03974078228575128,0.11080138954514962
4902,Transporte por metro,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",3034.49,3034.49,8.99,8.99,8.99,8.99,0.0,100.0,0.0,5.0,42.0,42.0,0.46062666737971036,0.11259969584293239
4903,Transporte de pasajeros,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",665707.53,665707.53,8.8,8.22,8.7,9.13,8.49,91.51,4.87,4.42,45.21,46.0,-0.3467399366139897,-0.06620938050317175
4904,Transporte automotor de cargas,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",390717.6,390717.6,8.89,8.29,8.85,9.35,6.11,93.89,4.85,3.83,48.33,48.0,-0.16701306208470246,-0.04189759399360693
4909,Transporte terrestre n.c.p.,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",323.0,323.0,9.21,9.21,9.21,9.21,0.0,100.0,0.0,6.0,20.0,20.0,0.45249743206125703,0.4845542121524086
5000,Transporte por vía acuática,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",16761.87,16761.87,9.03,8.56,9.05,9.53,9.68,90.32,29.26,4.38,56.19,59.5,0.21259711130740389,0.12724859479620382
5100,Transporte aéreo,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",62841.62,62841.62,9.26,8.85,9.39,9.55,79.59,20.41,17.78,6.23,44.22,49.0,-0.02340239109411275,0.297358328626712
5201,Depósito y almacenamiento,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",147678.6,147678.6,8.78,8.07,8.7,9.13,20.02,79.98,10.12,4.7,39.43,36.5,-0.028506065686528546,0.06270456868463536
5202,Servicios auxiliares al transporte,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",72520.56,72520.56,8.72,8.01,8.52,9.21,28.73,71.27,26.04,5.08,40.3,39.0,-0.06882743572065445,0.02188888111260632
5300,Correo y servicio de mensajería,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",228432.27,228432.27,8.61,7.93,8.57,8.98,13.15,86.85,13.77,4.77,40.21,42.0,-0.21854485889397343,-0.121463755892795
5500,"Servicios de alojamiento en hoteles, campamentos y otros hospedajes temporales",I. Alojamiento y Servicios de Comidas,"GI. Comercio, alojamiento y comidas","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",140646.49,140646.49,8.38,7.97,8.52,8.8,58.12,41.88,7.65,4.25,45.52,46.0,-0.15766027537382532,-0.0747470069271775
5601,Expendio comidas/bebidas,I. Alojamiento y Servicios de Comidas,"GI. Comercio, alojamiento y comidas","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",1225814.17,1225814.17,8.26,7.65,8.24,8.85,57.18,42.82,2.88,4.83,37.24,32.0,-0.42145628550021835,0.0022294366766206115
5602,Expendio comidas/bebidas,I. Alojamiento y Servicios de Comidas,"GI. Comercio, alojamiento y comidas","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",28560.13,28560.13,7.86,7.48,8.15,8.48,64.58,35.42,0.0,3.43,35.34,39.0,-0.3120874293516227,0.23857301544729678
5800,"Edición de libros, periódicos y otras publicaciones",J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",54386.59,54386.59,8.77,8.43,8.7,9.06,34.68,65.32,16.08,7.29,46.29,38.5,0.057661755261289846,-0.18445181920387999
5900,Actividades cinematográficas,J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",56308.17,56308.17,8.92,8.37,8.85,9.21,19.51,80.49,15.7,7.25,46.0,36.0,-0.009293652067044494,-0.13911521084059564
6000,Actividades de programación y difusión,J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",23036.74,23036.74,8.4,8.15,8.58,9.17,45.35,54.65,20.13,5.68,42.59,38.0,0.13056842554551717,-0.16162635229237624
6100,Telecomunicaciones,J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",170941.65,170941.65,8.83,8.42,8.89,9.21,48.43,51.57,8.54,5.49,38.44,36.0,-0.06834246117781785,-0.046847969727823124
6200,Actividades de programación y consultoría informática,J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",70016.23,70016.23,9.06,8.75,9.21,9.39,24.42,75.58,0.8,8.41,35.43,32.0,0.13603390296104348,-0.23618710122885375
6300,Actividades de servicios de información,J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",80587.19,80587.19,9.01,8.71,8.99,9.24,39.42,60.58,45.1,6.7,35.17,33.0,0.09936838326958056,-0.3521395914201695
6400,Intermediación financiera,K. Actividades Financieras y de Seguros,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.9412, 0.0078, 0.498, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",288276.63,288276.63,9.13,8.52,9.13,9.53,37.9,62.1,27.38,5.75,46.5,50.0,-0.09673280463997427,-0.09906415384564757
6500,"Seguros, reaseguros y fondos de pensiones",K. Actividades Financieras y de Seguros,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.9412, 0.0078, 0.498, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",146673.68,146673.68,8.6,8.52,9.02,9.27,38.34,61.66,3.26,6.51,42.66,48.0,-0.11309050525105467,-0.11692741722643278
6600,Actividades auxiliares a los servicios,K. Actividades Financieras y de Seguros,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.9412, 0.0078, 0.498, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",2444.45,2444.45,,,,,0.0,100.0,0.0,,,,,
6800,Actividades inmobiliarias,L. Actividades Inmobiliarias,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.9412, 0.0078, 0.498, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",97660.56,97660.56,8.83,8.12,8.78,9.43,43.43,56.57,0.75,6.67,52.42,57.5,-0.05101522280447973,-0.07849784900207497
6900,Actividades jurídicas y de contabilidad,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",501709.78,501709.78,9.1,8.51,8.99,9.61,47.93,52.07,2.43,7.94,42.57,42.0,-0.23361868743618314,-0.1971948662710439
7000,Actividades de servicios de consultoría,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",40550.75,40550.75,8.88,8.69,9.06,9.35,17.6,82.4,1.83,8.15,47.64,56.5,0.09049272937232747,0.14482740113260045
7100,Servicios de arquitectura e ingeniería,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",191890.8,191890.8,9.33,8.85,9.32,9.8,20.14,79.86,10.75,8.59,46.94,41.5,0.04029492793152869,-0.2353080150686628
7200,Investigación y desarrollo,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",74699.0,74699.0,9.49,8.79,9.49,9.78,61.5,38.5,80.2,8.13,46.42,45.0,-0.17414618173489335,-0.10573538557459769
7301,Actividades publicitarias,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",78183.84,78183.84,8.44,7.78,8.75,9.11,52.13,47.87,0.13,7.03,34.21,31.5,0.09739735066246345,-0.18004459922504326
7302,Investigación de mercados y encuestas de opinión pública,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",12033.4,12033.4,8.73,8.48,8.78,9.04,37.97,62.03,21.68,7.66,37.6,34.5,0.305357181934639,-0.08457071066012188
7400,"Otras actividades profesionales, científicas y técnicas","M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",137332.7,137332.7,8.83,8.27,8.74,9.21,47.66,52.34,3.01,6.63,40.81,39.0,0.07546164924918507,-0.3063953215178191
7500,Actividades veterinarias,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",35770.57,35770.57,9.35,8.75,9.14,10.14,50.18,49.82,10.73,8.39,47.11,40.5,0.015819323159529497,-0.15907223559321432
7701,Alquiler de efectos personales y domésticos,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",5676.96,5676.96,8.77,8.41,9.21,9.73,82.9,17.1,0.0,6.75,29.2,27.0,0.029809910418160963,0.2375936092470347
7702,Alquiler de vehículos de transporte,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",10880.17,10880.17,8.62,7.68,8.23,9.05,0.0,100.0,0.0,5.26,42.44,41.5,0.13384650700913206,0.18949277963215677
7800,Actividades relacionadas con el suministro de personal,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",24104.12,24104.12,9.62,9.28,9.43,9.99,49.95,50.05,9.78,6.63,31.09,30.0,0.19174654408055025,0.06017093712539736
7900,Agencias de viajes y operadores turísticos,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",64051.52,64051.52,8.9,8.52,8.85,9.15,69.92,30.08,9.54,6.51,44.34,47.0,-0.15200742192475486,0.0019279709750733619
8000,Actividades de investigación y seguridad,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",137764.79,137764.79,8.67,8.01,8.74,8.99,10.4,89.6,11.4,4.47,38.65,39.0,-0.16679198006628196,-0.18321351264189956
8101,Servicios de apoyo a edificios,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",523627.16,523627.16,8.62,8.06,8.68,8.99,37.02,62.98,36.16,4.23,45.04,46.0,-0.2972803990410054,-0.0872960106567284
8102,Servicios de paisajismo y jardinería,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",181629.2,181629.2,7.96,6.91,7.82,8.67,11.24,88.76,4.95,3.61,41.04,36.0,-0.36311107960028405,0.13523020135796074
8200,Actividades administrativas de oficinas,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",219441.91,219441.91,8.58,8.03,8.52,8.96,54.57,45.43,2.19,5.44,39.56,38.0,-0.059947733049012235,-0.09878593852333843
8400,Administración Pública y Defensa; Planes de Seguro Social Obligatorio,O. Administración Pública y Defensa,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",8588.0,8588.0,9.49,8.77,9.07,9.36,37.21,62.79,87.91,7.89,51.55,59.5,0.27991941005977466,-0.0184053805871008
8401,Administración pública,O. Administración Pública y Defensa,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",1316289.92,1316289.92,8.85,8.19,8.7,9.21,48.05,51.95,99.06,6.16,47.85,48.0,-0.2507947583355881,-0.15529585486094635
8402,Seguridad pública,O. Administración Pública y Defensa,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",535967.69,535967.69,8.98,8.61,9.02,9.33,26.19,73.81,98.31,5.57,43.11,40.0,-0.3337855822616907,-0.27442038990477674
8403,Servicios de la seguridad social obligatoria,O. Administración Pública y Defensa,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",13005.92,13005.92,9.7,9.3,9.62,10.14,21.85,78.15,100.0,7.67,34.23,34.5,0.22765349313178868,-0.006183060634299506
