v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median,x,y,community
11111,Miemb. Poder legislativo,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,6060.54,6060.54,10.04,0.0,10.04,15.42,84.58,100.0,8.0,0.0,48.0,0.0,48.0,-461.20806884765625,3.4320168495178223,C14
11112,Direct. Adm. Pública,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,18326.0,18326.0,9.55,0.59,9.28,38.46,61.54,100.0,5.42,1.49,58.59,13.34,59.0,-232.66290283203125,-187.7285003662109,C06
11113,Jefes de pequeñas poblaciones,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11114,Dir. Org. Interés especial,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,1135.33,1135.33,,,,100.0,0.0,100.0,,,,,,-700.8629150390625,372.5573425292969,C16
11120,Ger. Generales,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.110536, 0.047399, 0.262912, 1.0)",#374E55,#cccccc,8653.66,8653.66,9.75,0.21,9.8,77.56,22.44,0.0,8.32,0.47,39.9,13.51,51.5,32.249481201171875,294.519775390625,C08
11200,Dir. adm. y com.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.122908, 0.047536, 0.281624, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11210,Dir. adm. y serv.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,281.0,281.0,7.9,0.0,7.9,0.0,100.0,0.0,4.0,0.0,79.0,0.0,79.0,-206.041015625,1095.0860595703125,C13
11211,Dir. Financieros,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,4986.0,4986.0,8.6,0.62,8.29,0.0,100.0,0.0,8.7,0.71,66.15,24.11,72.0,-602.716552734375,338.4852600097656,C13
11212,Dir. RR.HH.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,2086.0,2086.0,9.75,0.71,9.63,15.0,85.0,66.73,7.18,1.31,45.26,9.52,50.5,-729.2041015625,388.7808837890625,C16
11213,Dir. Pol. y planificación,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,212.0,212.0,10.55,0.0,10.55,0.0,100.0,100.0,5.0,0.0,70.0,0.0,70.0,-630.6196899414062,606.1215209960938,C13
11219,Dir. Servicios n/c,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,2762.0,2762.0,8.3,0.33,8.34,0.0,100.0,0.0,7.9,1.0,53.47,20.4,55.5,-751.0006713867188,-68.9270248413086,C07
11220,Dir. Ventas y com,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11221,Dir. Ventas y com,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,64299.33,64299.33,8.8,0.73,8.52,16.52,83.48,0.0,7.4,1.78,49.39,12.18,53.0,113.50585174560548,515.6827392578125,C12
11222,Dir. Publicidad y rel públicas,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,777.0,777.0,9.24,0.0,9.24,0.0,100.0,0.0,5.0,0.0,72.0,0.0,72.0,-424.1510620117188,742.2855834960938,C13
11223,Dir R&D,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,4047.1,4047.1,,,,0.0,100.0,0.0,,,,,,-26.914756774902344,372.6810302734375,C05
11300,Dir. Producción,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11310,Dir. Prod agropecuaria,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11311,Dir. Prod agropecuaria,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,18196.68,18196.68,8.92,0.55,9.08,20.88,79.12,6.69,6.65,2.33,58.36,18.69,66.0,-307.1389465332031,-244.3755645751953,C07
11312,Dir. Prod pisicultura,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11320,"Dir. Ind manufacturera, minería",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,1300.0,1300.0,,,,0.0,100.0,0.0,7.0,0.0,67.0,0.0,67.0,-718.7957153320312,252.23313903808597,C14
11321,Dir. Ind manufacturera,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,54564.77,54564.77,8.89,0.73,8.85,44.99,55.01,4.48,5.4,2.3,60.65,15.71,56.5,476.8203430175781,612.39599609375,C08
11322,Dir. minería,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,6254.33,6254.33,9.92,0.3,9.98,0.0,100.0,60.02,5.84,1.38,59.68,11.04,45.0,-480.098388671875,861.6232299804688,C12
11323,Dir. emp. construcción,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,3091.53,3091.53,9.11,0.0,9.11,0.0,100.0,0.0,9.0,0.0,38.0,0.0,38.0,116.80287170410156,668.1886596679688,C13
11324,"Dir. emp. abastecimiento, distribución y afines",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,20333.5,20333.5,9.34,0.48,9.25,18.9,81.1,41.7,4.43,0.8,57.02,14.25,59.5,554.9441528320312,112.99556732177734,C00
11330,Dir. serv. IT,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,9894.85,9894.85,8.91,0.56,8.52,63.8,36.2,3.06,8.77,0.42,38.94,8.56,35.5,-234.5201416015625,46.44870376586914,C15
11340,Dir. serv. profesionales,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11341,Dir. Cuidados infantiles,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11342,Dir. serv. salud,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,15185.72,15185.72,9.4,0.44,9.31,68.77,31.23,10.02,7.13,2.14,60.25,15.47,56.0,-30.88209724426269,-59.8908805847168,C04
11343,Dir. Cuid. Pers edad.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11344,Dir. bienestar social,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,781.0,781.0,9.9,0.65,9.81,0.0,100.0,0.0,6.4,2.97,64.42,11.9,66.0,-724.8062744140625,374.4682922363281,C16
11345,Dir. Serv. Educación,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,125543.02,125543.02,9.25,0.66,9.21,80.15,19.85,81.37,7.08,1.4,57.98,11.62,58.0,-124.14385223388672,-807.8862915039062,C01
11346,Ger bancos y serv financieros,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,23741.06,23741.06,9.35,0.71,9.62,0.0,100.0,70.27,6.43,1.89,62.71,9.48,64.0,-73.7943115234375,-13.942971229553224,C13
11349,Dir. serv. profesionales,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,33104.31,33104.31,8.61,0.37,9.16,0.0,100.0,47.47,6.23,1.84,62.74,8.4,55.0,-387.7959899902344,56.19719696044922,C11
11400,Ger. Hoteles y restaurantes,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11410,Ger. hot. y rest.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11411,Ger. Hoteles,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,17828.0,17828.0,8.01,1.38,8.94,20.23,79.77,0.0,5.11,1.49,47.54,18.36,50.0,-262.07525634765625,296.5051574707031,C09
11412,Ger. Restaurantes,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,26562.23,26562.23,8.81,0.34,8.85,30.05,69.95,0.0,8.25,1.3,35.93,7.69,39.0,615.033203125,-632.5677490234375,C00
11420,Ger. Com. Por mayor,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.162689, 0.043554, 0.333277, 1.0)",#374E55,#cccccc,74657.56,74657.56,9.05,0.6,8.99,16.38,83.62,0.0,5.26,1.38,55.61,14.73,50.0,617.676025390625,-207.7428436279297,C00
11430,Ger. n/c,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.169575, 0.042489, 0.340874, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11431,"Ger cent. Deportivos, esparicmiento y culturales",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.169575, 0.042489, 0.340874, 1.0)",#374E55,#cccccc,6667.73,6667.73,9.16,0.29,9.21,0.0,100.0,0.0,5.77,1.78,49.98,16.79,40.0,-420.4723205566406,459.4998168945313,C11
11439,Ger. Serv. n/c,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.169575, 0.042489, 0.340874, 1.0)",#374E55,#cccccc,19051.87,19051.87,9.41,1.08,8.67,35.82,64.18,9.78,7.58,1.57,54.17,16.69,51.5,-116.9319076538086,297.2949523925781,C09
12000,Profesionales científicos e intelectuales,2. Profesionales,1. Trabajadores  no manuales,"(0.271347, 0.040922, 0.411976, 1.0)",#DF8F44,#cccccc,26414.46,26414.46,9.19,0.43,9.21,63.22,36.78,79.09,8.92,0.28,39.14,13.14,37.5,-362.4339294433594,-225.38250732421875,C01
12100,Prof. ciencia e ingeniería,2. Profesionales,1. Trabajadores  no manuales,"(0.284321, 0.043933, 0.416608, 1.0)",#DF8F44,#cccccc,5006.61,5006.61,,,,100.0,0.0,100.0,,,,,,-625.6577758789062,391.2273559570313,C12
12111,Físicos y astrónomos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12112,Meteorólogos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,1295.0,1295.0,9.68,0.11,9.65,56.76,43.24,43.24,7.5,0.87,43.72,7.93,45.0,-686.5245361328125,367.1197509765625,C16
12113,Químicos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,9620.35,9620.35,8.18,0.97,9.11,94.26,5.74,36.16,7.94,0.96,42.45,16.08,42.0,-87.66447448730469,244.71771240234372,C05
12114,Geólogos y geofísicos,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,1642.8,1642.8,8.87,0.1,8.93,14.3,85.7,54.24,9.0,0.0,53.16,5.29,56.0,-775.349853515625,253.9282684326172,C01
12120,"Matemáticos, actuarios y estadísticos",2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,949.0,949.0,10.17,0.0,10.17,0.0,100.0,100.0,5.0,0.0,70.0,0.0,70.0,-533.3147583007812,505.4165954589844,C13
12130,Prof. Biología,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,9973.17,9973.17,,,,86.65,13.35,44.93,9.0,0.0,28.0,0.0,28.0,-571.0153198242188,266.0718078613281,C12
12131,"Biólogos, botánicos, zoólogos y afines",2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,33684.5,33684.5,9.29,0.62,9.33,88.84,11.16,68.81,8.49,0.87,54.06,21.88,46.0,-280.8782958984375,-144.72535705566406,C06
12132,Agrónomos y afines,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,26281.0,26281.0,9.22,0.62,9.21,38.19,61.81,63.74,9.0,0.0,42.74,14.3,38.0,-252.582763671875,-43.70916366577149,C06
12133,Prof. Protec. med.ambiental,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,2908.25,2908.25,9.24,0.04,9.21,0.0,100.0,84.56,6.84,1.79,34.19,4.0,38.0,-363.685302734375,513.9530029296875,C08
12140,Ingenieros,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,10323.88,10323.88,8.91,0.83,8.39,22.34,77.66,70.34,9.0,0.0,55.96,14.05,57.0,-489.6058349609375,421.3875427246094,C12
12141,Ing. Industriales y producción,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,4029.01,4029.01,10.02,0.48,9.83,3.7,96.3,60.51,9.0,0.0,52.48,15.42,45.5,-121.37306213378906,780.297607421875,C13
12142,Ingenieros civiles,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,37432.75,37432.75,9.3,0.52,9.07,22.57,77.43,35.87,8.88,0.48,48.65,11.76,52.0,488.57818603515625,477.1077575683594,C02
12143,Ing. med.ambiental,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,881.0,881.0,9.47,0.0,9.47,0.0,100.0,100.0,9.0,0.0,36.0,0.0,36.0,-644.5794677734375,528.0756225585938,C12
12144,Ing. Mecánicos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12145,Ing. Químicos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,4257.0,4257.0,9.5,0.16,9.44,0.0,100.0,0.0,9.0,0.0,55.53,3.72,57.0,-34.79499053955078,400.0356140136719,C05
12146,Ing. Met. Y minas,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12149,Ingenieros n/c,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,18332.95,18332.95,9.06,0.87,9.39,4.21,95.79,10.63,8.81,0.39,43.66,13.21,49.0,-132.50814819335938,492.9194030761719,C12
12150,Ing. Electrotécnología,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,3583.0,3583.0,9.31,0.0,9.31,0.0,100.0,0.0,9.0,0.0,28.0,0.0,28.0,-462.2647399902344,574.6654052734375,C12
12151,Ing. Electricista,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,2443.23,2443.23,9.79,0.01,9.78,0.0,100.0,55.18,8.84,0.37,38.4,9.53,30.0,-243.91783142089844,732.027587890625,C13
12152,Ing. Electrónicos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,12311.04,12311.04,9.4,0.72,9.5,10.62,89.38,34.09,8.53,0.78,46.74,11.04,39.0,-392.4251098632813,587.5414428710938,C12
12153,Ing. Telecomunicaciones,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,8484.6,8484.6,9.56,0.21,9.18,0.0,100.0,82.07,9.0,0.0,54.62,1.46,52.0,-386.3616027832031,-44.77374649047852,C06
12160,"Arquitectos, urbanistas, agrimensores y diseñadores",2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12161,Arquitectos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,70071.17,70071.17,9.4,0.76,9.26,28.7,71.3,14.88,8.96,0.19,49.73,18.4,48.0,319.0428771972656,493.0387573242188,C12
12162,Arquitectos paisajistas,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12163,Dis. Prendas y productos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,68420.69,68420.69,9.29,0.76,9.09,35.03,64.97,0.0,6.7,1.81,42.46,14.77,42.0,162.4663543701172,611.5516357421875,C05
12164,Urbanistas e ingenieros de tránsito,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12165,Cartógrafos y agrimensores,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,22474.42,22474.42,9.14,0.99,9.62,2.06,97.94,5.7,6.67,1.69,63.7,6.08,64.0,-24.143856048583984,481.2957763671875,C12
12166,Dis. gráficos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,52471.9,52471.9,8.89,0.43,8.66,45.68,54.32,7.91,7.56,1.67,38.52,9.55,36.0,-40.280517578125,143.140625,C05
12200,Prof. Salud,2. Profesionales,1. Trabajadores  no manuales,"(0.303568, 0.049396, 0.422182, 1.0)",#DF8F44,#cccccc,2432.85,2432.85,9.05,1.03,9.35,77.76,22.24,34.73,7.82,0.81,57.32,11.76,53.0,-541.3738403320312,322.39276123046875,C16
12210,Médicos,2. Profesionales,1. Trabajadores  no manuales,"(0.303568, 0.049396, 0.422182, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12211,Médicos generales,2. Profesionales,1. Trabajadores  no manuales,"(0.303568, 0.049396, 0.422182, 1.0)",#DF8F44,#cccccc,78761.29,78761.29,9.53,0.58,9.52,56.83,43.17,56.38,8.99,0.13,48.77,16.81,45.0,193.8050537109375,-434.5813903808594,C04
12212,Médicos especialistas,2. Profesionales,1. Trabajadores  no manuales,"(0.303568, 0.049396, 0.422182, 1.0)",#DF8F44,#cccccc,77842.87,77842.87,9.29,0.85,9.17,56.85,43.15,48.22,8.85,0.63,50.45,12.27,50.0,176.23739624023438,-399.1873168945313,C04
12220,Prof. Enfermería y partería,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12221,Prof. Enfermería y partería,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,41873.31,41873.31,9.04,0.49,9.04,69.25,30.75,58.56,8.14,0.98,52.11,11.24,48.0,179.19656372070312,-351.1468200683594,C04
12222,Prof. Partería,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12230,Prof. Medicina tradicional y alternativa,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,1360.09,1360.09,,,,100.0,0.0,0.0,,,,,,-677.6431274414062,378.0146789550781,C16
12240,Paramédicos,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12250,Veterinarios,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,25059.29,25059.29,9.66,0.69,9.62,25.48,74.52,6.48,9.0,0.0,47.28,14.55,45.0,130.81539916992188,-53.28337860107422,C04
12260,Prof. Salud,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12261,Dentistas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,31711.34,31711.34,9.28,0.79,9.13,41.48,58.52,15.29,8.84,0.55,46.76,9.62,44.0,154.1940155029297,-310.7064819335937,C04
12262,Farmacéuticos,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,26492.0,26492.0,9.18,0.48,8.89,95.98,4.02,0.0,8.95,0.32,51.04,14.36,55.0,132.39083862304688,121.36156463623048,C05
12263,Prof. Salud e higiene laboral,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,311.28,311.28,,,,0.0,100.0,0.0,,,,,,-458.8564453125,685.602294921875,C08
12264,Fisioterapeutas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,27083.8,27083.8,9.25,0.82,9.39,88.29,11.71,58.18,8.6,0.95,40.74,11.98,38.0,137.21099853515625,-283.8642883300781,C04
12265,Dietistas y nutricionistas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,15764.38,15764.38,8.7,0.86,8.16,100.0,0.0,61.0,8.81,0.58,47.1,14.43,30.0,77.69355010986328,-185.5559234619141,C04
12266,Audiólogos y logopedas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,12708.2,12708.2,8.99,0.0,8.99,100.0,0.0,31.45,9.0,0.0,45.79,11.56,49.0,43.08370208740234,-115.62323760986328,C04
12267,Optometristas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12269,Prof. Salud n/c,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,10056.46,10056.46,8.27,0.59,8.31,75.02,24.98,56.24,6.6,3.17,41.77,21.06,30.0,-304.6635437011719,207.78912353515625,C16
12300,Prof. Enseñanza gral,2. Profesionales,1. Trabajadores  no manuales,"(0.32261, 0.055634, 0.426377, 1.0)",#DF8F44,#cccccc,503244.93,503244.93,8.97,0.75,8.98,72.77,27.23,73.5,7.41,1.25,46.52,14.42,49.0,-35.2645378112793,-921.13818359375,C01
12310,Prof. Universitarios y ed superior,2. Profesionales,1. Trabajadores  no manuales,"(0.32261, 0.055634, 0.426377, 1.0)",#DF8F44,#cccccc,161321.1,161321.1,9.3,0.68,9.13,54.85,45.15,89.05,8.42,0.98,55.68,17.09,53.0,-80.02485656738281,-854.901611328125,C01
