v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_q1,income_median,income_q3,female_pct,male_pct,public_sector_pct,nivel_ed_mean,age_mean,age_median
12356,Inst. IT,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,15518.0,15518.0,8.67,7.86,8.65,8.98,67.41,32.59,26.09,7.01,44.48,38.0
12359,Prof. enseñanza,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,75990.08,75990.08,8.4,7.57,8.52,9.05,83.96,16.04,23.47,7.23,38.48,34.0
12400,Esp. Admin pública,2. Profesionales,1. Trabajadores  no manuales,"(0.335217, 0.06006, 0.428524, 1.0)",#DF8F44,#cccccc,3085.66,3085.66,7.31,7.31,7.31,7.31,23.68,76.32,0.0,9.0,34.0,34.0
12410,Esp. Finanzas,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12411,Contables,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,192674.45,192674.45,9.22,8.79,9.21,9.62,59.82,40.18,21.8,8.9,47.61,50.0
12412,Asesores financieros y en inversiones,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,42740.09,42740.09,9.39,8.96,9.53,9.9,4.95,95.05,14.54,5.61,72.51,79.0
12413,An. financieros,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,7811.04,7811.04,9.73,9.45,9.62,9.98,30.02,69.98,21.61,8.48,49.13,55.0
12420,Esp. Org y adm.,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12421,An. gestión y organización,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,6897.21,6897.21,9.25,8.96,9.21,9.4,86.31,13.69,79.06,7.3,51.58,54.0
12422,Esp. Pol. Administración,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,22310.61,22310.61,7.95,7.73,8.42,9.15,94.52,5.48,3.66,5.98,44.62,39.0
12423,Esp. Pol. Y serv. Personal,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,4333.66,4333.66,9.82,9.44,9.67,9.9,14.77,85.23,63.18,8.66,53.58,47.0
12424,Esp. Formación personal,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12430,"Prof. Venta, comercialización",2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12431,Prof. Publicidad y marketing,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,35894.46,35894.46,9.17,8.86,9.41,9.62,31.8,68.2,11.71,7.55,45.67,52.5
12432,Prof. Rel. Públicas,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,16715.42,16715.42,,,,,43.12,56.88,57.03,6.0,35.0,35.0
12433,Prof. Ventas médicas,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,31150.39,31150.39,8.89,8.75,8.99,9.52,21.98,78.02,0.0,7.72,59.85,62.0
12434,Prof. Ventas IT,2. Profesionales,1. Trabajadores  no manuales,"(0.3415, 0.062325, 0.429425, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12500,Profesionales IT,2. Profesionales,1. Trabajadores  no manuales,"(0.354032, 0.066925, 0.430906, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12510,Des. Y An. Software,2. Profesionales,1. Trabajadores  no manuales,"(0.354032, 0.066925, 0.430906, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12511,An. de sistemas,2. Profesionales,1. Trabajadores  no manuales,"(0.354032, 0.066925, 0.430906, 1.0)",#DF8F44,#cccccc,62424.77,62424.77,9.39,8.99,9.31,9.72,31.33,68.67,14.8,8.2,39.64,40.0
12512,Des. software,2. Profesionales,1. Trabajadores  no manuales,"(0.354032, 0.066925, 0.430906, 1.0)",#DF8F44,#cccccc,28212.83,28212.83,9.35,8.87,9.38,9.58,21.9,78.1,36.4,8.12,33.99,31.0
12513,Des. Web y multimedia,2. Profesionales,1. Trabajadores  no manuales,"(0.354032, 0.066925, 0.430906, 1.0)",#DF8F44,#cccccc,10197.52,10197.52,8.49,7.4,7.88,8.37,47.9,52.1,0.0,7.0,39.41,35.0
12514,Programadores,2. Profesionales,1. Trabajadores  no manuales,"(0.354032, 0.066925, 0.430906, 1.0)",#DF8F44,#cccccc,19736.54,19736.54,,,,,0.0,100.0,4.18,,,
12519,Des. Y An. Software,2. Profesionales,1. Trabajadores  no manuales,"(0.354032, 0.066925, 0.430906, 1.0)",#DF8F44,#cccccc,5898.43,5898.43,,,,,59.22,40.78,0.0,,,
12520,Esp. Bases de datos,2. Profesionales,1. Trabajadores  no manuales,"(0.354032, 0.066925, 0.430906, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12521,Adm. Base de datos,2. Profesionales,1. Trabajadores  no manuales,"(0.360284, 0.069247, 0.431497, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12522,Admin. sistemas,2. Profesionales,1. Trabajadores  no manuales,"(0.360284, 0.069247, 0.431497, 1.0)",#DF8F44,#cccccc,15994.17,15994.17,,,,,0.0,100.0,0.0,,,
12523,Prof. Redes informáticas,2. Profesionales,1. Trabajadores  no manuales,"(0.360284, 0.069247, 0.431497, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12529,Esp. Bases de datos,2. Profesionales,1. Trabajadores  no manuales,"(0.360284, 0.069247, 0.431497, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12600,"Prof. Derecho, Cs Sociales",2. Profesionales,1. Trabajadores  no manuales,"(0.372768, 0.073915, 0.4324, 1.0)",#DF8F44,#cccccc,3560.0,3560.0,9.15,9.03,9.14,9.29,64.35,35.65,74.27,8.64,35.45,36.0
12610,Prof. Derecho,2. Profesionales,1. Trabajadores  no manuales,"(0.372768, 0.073915, 0.4324, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12611,Abogados,2. Profesionales,1. Trabajadores  no manuales,"(0.372768, 0.073915, 0.4324, 1.0)",#DF8F44,#cccccc,214517.27,214517.27,9.28,8.52,9.21,9.62,43.97,56.03,21.27,8.88,43.22,44.0
12612,Jueces,2. Profesionales,1. Trabajadores  no manuales,"(0.372768, 0.073915, 0.4324, 1.0)",#DF8F44,#cccccc,29206.99,29206.99,9.57,9.25,9.33,9.74,3.26,96.74,100.0,9.0,49.7,60.0
12619,Prof. Derecho n/c,2. Profesionales,1. Trabajadores  no manuales,"(0.372768, 0.073915, 0.4324, 1.0)",#DF8F44,#cccccc,19818.76,19818.76,9.48,8.73,9.05,10.2,30.92,69.08,78.0,8.77,52.18,53.0
12620,"Archivistas, bibliotecarios, curadores y afines",2. Profesionales,1. Trabajadores  no manuales,"(0.372768, 0.073915, 0.4324, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12621,Archivistas y curadores de museos,2. Profesionales,1. Trabajadores  no manuales,"(0.372768, 0.073915, 0.4324, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12622,"Bibliotecarios, documentalistas y afines",2. Profesionales,1. Trabajadores  no manuales,"(0.372768, 0.073915, 0.4324, 1.0)",#DF8F44,#cccccc,9634.73,9634.73,9.24,8.98,9.23,9.33,79.66,20.34,88.38,7.38,50.99,49.0
12630,Esp. cs. Sociales,2. Profesionales,1. Trabajadores  no manuales,"(0.372768, 0.073915, 0.4324, 1.0)",#DF8F44,#cccccc,15279.26,15279.26,9.76,9.29,9.75,9.99,91.15,8.85,100.0,9.0,56.0,66.0
12631,Economistas,2. Profesionales,1. Trabajadores  no manuales,"(0.372768, 0.073915, 0.4324, 1.0)",#DF8F44,#cccccc,3029.0,3029.0,9.44,8.85,9.18,9.52,0.0,100.0,0.0,9.0,72.03,67.0
12632,"Sociólogos, antropólogos y afines",2. Profesionales,1. Trabajadores  no manuales,"(0.372768, 0.073915, 0.4324, 1.0)",#DF8F44,#cccccc,11446.7,11446.7,10.19,9.5,9.8,10.31,73.75,26.25,87.29,9.0,57.59,57.0
12633,"Filósofos, historiadores y especialistas en ciencias políticas",2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12634,Psicólogos,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,138802.51,138802.51,9.05,8.43,9.16,9.62,89.57,10.43,33.5,8.82,45.59,44.0
12635,Prof. Trabajo social,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,72443.47,72443.47,9.12,8.85,9.21,9.41,89.94,10.06,92.61,8.52,39.31,45.0
12636,Prof. Religiosos,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,386.0,386.0,,,,,0.0,100.0,100.0,9.0,47.0,47.0
12640,Aut. periodistas y lingüistas,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12641,Aut. escritores,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,4135.3,4135.3,8.75,8.68,8.83,8.94,28.45,71.55,52.58,8.51,53.72,55.0
12642,Periodistas,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,52354.05,52354.05,8.52,8.48,8.62,8.81,37.62,62.38,18.46,8.29,41.59,37.0
12643,"Traductores, intérpretes y lingüistas",2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,4022.0,4022.0,9.41,9.31,9.41,9.51,100.0,0.0,0.0,8.0,45.22,32.0
12650,Artistas creativos e interpretativos,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,
12651,Artistaplásticos,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,28816.71,28816.71,8.84,8.4,8.7,9.24,58.34,41.66,5.28,7.57,62.37,57.5
12652,"Músicos, cantantes y compositores",2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,62700.71,62700.71,8.81,8.16,8.52,9.0,22.62,77.38,37.18,6.09,37.54,35.0
12653,Bailarines y coreógrafos,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,41165.67,41165.67,8.95,8.17,8.74,8.97,51.62,48.38,3.24,6.49,42.63,41.0
12654,Dir. cine teatro,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,6402.77,6402.77,8.81,8.4,9.07,9.21,11.12,88.88,26.72,7.88,38.8,40.0
12655,Actores,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,11072.46,11072.46,8.58,8.34,8.59,8.84,49.23,50.77,0.0,5.68,63.37,41.0
12656,"Locutores de radio, televisión y otros med.s de comunicación",2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,18801.65,18801.65,8.67,7.69,8.17,8.47,34.72,65.28,0.0,6.48,45.5,24.5
12659,Artistas creativos e interpretativos no clasificados bajo otros epígrafes,2. Profesionales,1. Trabajadores  no manuales,"(0.379001, 0.076253, 0.432719, 1.0)",#DF8F44,#cccccc,4640.0,4640.0,8.76,8.72,8.92,8.95,0.0,100.0,0.0,4.75,42.36,40.0
13000,Téc. Y prof. N. Medio. mediop,3. Técnicos,1. Trabajadores  no manuales,"(0.434987, 0.097069, 0.432039, 1.0)",#00A1D5,#cccccc,813.0,813.0,,,,,0.0,100.0,100.0,8.0,29.0,29.0
13100,Prof. med. ciencia e ingeniería,3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,192.52,192.52,,,,,100.0,0.0,100.0,,,
13110,Téc. Cs. Físicas e ingeniería,3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,1475.0,1475.0,9.76,9.76,9.76,9.76,0.0,100.0,26.17,8.26,50.67,44.0
13111,Téc. cs. físicas y químicas,3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,9047.34,9047.34,8.51,7.89,8.96,9.49,40.24,59.76,49.15,7.89,36.4,38.0
13112,Téc. Ing. Civil,3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,50533.28,50533.28,8.82,7.99,8.84,9.3,22.79,77.21,6.96,5.63,47.72,47.5
13113,Electrotécnicos,3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,22602.46,22602.46,9.41,9.27,9.32,9.38,0.0,100.0,1.38,7.76,55.0,51.0
13114,Téc. electrónica,3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,20567.01,20567.01,8.93,8.5,9.21,9.7,24.18,75.82,16.83,7.17,43.09,41.0
13115,Téc. Ing. mecánica,3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,13812.57,13812.57,9.15,8.49,8.86,9.56,11.67,88.33,12.55,7.65,44.49,44.0
13116,Téc. química industrial,3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,8554.0,8554.0,9.32,9.03,9.49,9.61,39.91,60.09,80.14,8.29,37.51,34.0
13117,"Tec. Ingeniería, industria y minas",3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,8701.14,8701.14,9.64,9.03,9.49,9.72,0.0,100.0,17.23,7.96,42.1,46.0
13118,Dibujant. Técnicos,3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,8146.73,8146.73,8.34,8.34,8.54,8.8,13.61,86.39,34.63,5.85,44.08,46.5
13119,Téc. Cs. Físicas,3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,9983.0,9983.0,9.04,8.7,8.85,10.21,0.0,100.0,0.0,5.63,55.58,40.0
13120,"Supv. Construcción, ingeniería y construcción",3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,35567.0,35567.0,8.93,8.21,8.99,9.5,15.98,84.02,34.98,5.31,53.74,56.0
13121,Supv. Ingeniería y minas,3. Técnicos,1. Trabajadores  no manuales,"(0.453651, 0.103848, 0.430498, 1.0)",#00A1D5,#cccccc,6385.09,6385.09,10.52,10.41,10.64,10.72,0.0,100.0,36.57,6.34,39.66,38.0
13122,Supv. Ind. manufactureras,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,96100.81,96100.81,9.15,8.38,8.91,9.43,12.49,87.51,9.18,4.52,46.66,46.5
13123,Sup. Construcción,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,38974.8,38974.8,8.8,8.2,8.85,9.21,1.13,98.87,23.36,4.19,54.58,53.0
13130,Téc. Ctrl. procesos,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,2033.0,2033.0,10.43,10.43,10.43,10.43,0.0,100.0,0.0,5.0,31.0,31.0
13131,Op. Prod. Energia,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,19851.39,19851.39,9.61,9.2,9.62,9.87,0.0,100.0,24.54,4.98,57.04,49.5
13132,Op. Incineradores y plantas de agua,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,5835.17,5835.17,9.39,9.0,9.22,9.44,0.0,100.0,45.45,4.11,45.93,50.0
13133,Cont. Inst químicas,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,5039.0,5039.0,9.51,9.04,9.32,9.69,0.0,100.0,0.0,5.28,47.65,48.5
13134,Op. Refinamiento petroleo y gas,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,10097.22,10097.22,10.09,9.77,10.09,10.41,0.0,100.0,19.61,6.02,42.08,42.5
13135,Cont. prod. metales,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,1781.0,1781.0,9.28,9.27,9.28,9.3,0.0,100.0,0.0,3.99,73.45,73.5
13139,Téc. Ctrl. Procesos n/c,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,3884.06,3884.06,10.7,10.7,10.7,10.7,35.71,64.29,0.0,3.58,35.74,36.5
13140,Téc. Cs. biológicas y afines,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,0.0,,,,,,,,,,,
13141,Téc. Cs. Biológicas,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,3517.0,3517.0,7.97,7.97,7.97,7.97,100.0,0.0,13.25,8.6,24.4,25.5
13142,Téc. agropecuarios,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,6214.0,6214.0,8.33,8.12,8.34,8.6,47.6,52.4,37.25,5.79,49.18,52.5
13143,Téc. forestales,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,0.0,,,,,,,,,,,
13150,Técnicos navegación marítima y aeronáutica,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,1867.0,1867.0,9.43,9.43,9.43,9.43,0.0,100.0,100.0,7.0,41.0,41.0
13151,Of. Maquinistas navegación,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,4995.29,4995.29,9.22,9.22,9.22,9.22,0.0,100.0,17.54,3.0,46.0,46.0
13152,"Capitanes, oficiales de cubierta y prácticos",3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,5848.59,5848.59,9.17,8.73,9.26,9.31,0.0,100.0,52.24,4.2,61.44,60.0
13153,Pilotos de aviación y afines,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,6348.0,6348.0,9.77,9.69,9.77,9.98,0.0,100.0,78.21,6.53,51.46,56.0
13154,Cont. tráf. aéreo,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,587.42,587.42,,,,,100.0,0.0,100.0,,,
13155,Téc. Seg. aeronáutica,3. Técnicos,1. Trabajadores  no manuales,"(0.459875, 0.106089, 0.429846, 1.0)",#00A1D5,#cccccc,2423.0,2423.0,9.39,9.39,9.39,9.39,0.0,100.0,0.0,7.0,24.0,24.0
13200,Prof. med. salud,3. Técnicos,1. Trabajadores  no manuales,"(0.472328, 0.110547, 0.428334, 1.0)",#00A1D5,#cccccc,9222.86,9222.86,8.65,8.49,8.52,8.75,55.65,44.35,72.44,6.75,47.95,51.0
13210,Téc. médicos y farmacéuticos,3. Técnicos,1. Trabajadores  no manuales,"(0.472328, 0.110547, 0.428334, 1.0)",#00A1D5,#cccccc,0.0,,,,,,,,,,,
13211,Téc. diagnóstico y tratamiento médico,3. Técnicos,1. Trabajadores  no manuales,"(0.472328, 0.110547, 0.428334, 1.0)",#00A1D5,#cccccc,48780.77,48780.77,8.79,8.54,8.91,9.26,48.12,51.88,27.49,7.05,43.47,43.0
13212,Téc. Lab. médicos,3. Técnicos,1. Trabajadores  no manuales,"(0.472328, 0.110547, 0.428334, 1.0)",#00A1D5,#cccccc,24223.42,24223.42,8.45,8.2,8.65,8.86,80.07,19.93,36.64,4.57,57.49,50.0
13213,Téc. farmacéuticos,3. Técnicos,1. Trabajadores  no manuales,"(0.472328, 0.110547, 0.428334, 1.0)",#00A1D5,#cccccc,9183.22,9183.22,9.07,8.82,8.95,9.09,42.4,57.6,28.81,6.33,29.76,31.5
13214,Téc. prótesis médicas y dentales,3. Técnicos,1. Trabajadores  no manuales,"(0.472328, 0.110547, 0.428334, 1.0)",#00A1D5,#cccccc,5674.06,5674.06,7.73,7.84,8.5,8.85,56.76,43.24,0.0,6.01,44.31,34.0
13220,Prof. med. enfermería y partería,3. Técnicos,1. Trabajadores  no manuales,"(0.472328, 0.110547, 0.428334, 1.0)",#00A1D5,#cccccc,0.0,,,,,,,,,,,
13221,Prof. med. enfermería,3. Técnicos,1. Trabajadores  no manuales,"(0.472328, 0.110547, 0.428334, 1.0)",#00A1D5,#cccccc,416048.77,416048.77,8.65,8.27,8.62,9.14,85.24,14.76,50.9,6.2,53.6,53.0
13222,Prof. med. partería,3. Técnicos,1. Trabajadores  no manuales,"(0.472328, 0.110547, 0.428334, 1.0)",#00A1D5,#cccccc,1364.0,1364.0,8.95,9.0,9.07,9.14,100.0,0.0,100.0,4.87,49.76,68.0
13230,Prof. med. medicina tradicional y alternativa,3. Técnicos,1. Trabajadores  no manuales,"(0.472328, 0.110547, 0.428334, 1.0)",#00A1D5,#cccccc,10113.11,10113.11,6.99,7.17,7.42,7.68,62.35,37.65,0.0,3.52,42.0,42.0
13232,Prof. med. medicina tradicional y alternativa,3. Técnicos,1. Trabajadores  no manuales,"(0.472328, 0.110547, 0.428334, 1.0)",#00A1D5,#cccccc,0.0,,,,,,,,,,,
13240,Téc. veterinarios,3. Técnicos,1. Trabajadores  no manuales,"(0.478558, 0.112764, 0.427475, 1.0)",#00A1D5,#cccccc,4211.99,4211.99,8.19,8.17,8.33,8.5,79.3,20.7,46.39,6.89,43.73,30.0
13250,Prof med. salud,3. Técnicos,1. Trabajadores  no manuales,"(0.478558, 0.112764, 0.427475, 1.0)",#00A1D5,#cccccc,0.0,,,,,,,,,,,
13251,Aux. y ay. Dentista,3. Técnicos,1. Trabajadores  no manuales,"(0.478558, 0.112764, 0.427475, 1.0)",#00A1D5,#cccccc,7419.43,7419.43,9.25,9.24,9.27,9.3,100.0,0.0,56.07,6.79,49.43,39.0
13252,Téc. Doc. Sanitaria,3. Técnicos,1. Trabajadores  no manuales,"(0.478558, 0.112764, 0.427475, 1.0)",#00A1D5,#cccccc,2160.0,2160.0,9.27,9.23,9.25,9.27,60.28,39.72,100.0,5.38,38.71,38.0
13253,T ra. Comu. Salud,3. Técnicos,1. Trabajadores  no manuales,"(0.478558, 0.112764, 0.427475, 1.0)",#00A1D5,#cccccc,16206.7,16206.7,8.2,7.57,8.13,8.69,79.88,20.12,91.66,5.05,38.53,45.0
13254,Téc. optometría y ópticos,3. Técnicos,1. Trabajadores  no manuales,"(0.478558, 0.112764, 0.427475, 1.0)",#00A1D5,#cccccc,0.0,,,,,,,,,,,
13255,Téc. fisioterapeutas,3. Técnicos,1. Trabajadores  no manuales,"(0.478558, 0.112764, 0.427475, 1.0)",#00A1D5,#cccccc,51047.95,51047.95,8.49,8.24,8.78,9.09,83.11,16.89,5.22,6.5,59.53,47.5
13256,Asistentes médicos,3. Técnicos,1. Trabajadores  no manuales,"(0.478558, 0.112764, 0.427475, 1.0)",#00A1D5,#cccccc,24745.06,24745.06,9.09,8.23,8.85,9.45,76.94,23.06,24.05,7.27,42.81,37.0
13257,Insp. Salud y laboral,3. Técnicos,1. Trabajadores  no manuales,"(0.478558, 0.112764, 0.427475, 1.0)",#00A1D5,#cccccc,36739.43,36739.43,8.76,7.94,8.78,9.21,64.88,35.12,88.88,6.94,38.82,39.0
13258,Ay. de ambulancias,3. Técnicos,1. Trabajadores  no manuales,"(0.478558, 0.112764, 0.427475, 1.0)",#00A1D5,#cccccc,549.0,549.0,9.13,9.13,9.13,9.13,0.0,100.0,0.0,5.0,47.0,47.0
13259,Prof med. salud n/c,3. Técnicos,1. Trabajadores  no manuales,"(0.478558, 0.112764, 0.427475, 1.0)",#00A1D5,#cccccc,14622.18,14622.18,9.2,7.44,8.89,9.34,87.52,12.48,13.49,5.96,59.99,71.0
13300,Prof. Med. Financieros,3. Técnicos,1. Trabajadores  no manuales,"(0.484789, 0.114974, 0.426548, 1.0)",#00A1D5,#cccccc,7185.0,7185.0,9.67,8.75,10.02,10.13,55.05,44.95,47.88,8.14,52.97,57.0
13310,Prof. Med. Finanzas y matemáticas,3. Técnicos,1. Trabajadores  no manuales,"(0.491022, 0.117179, 0.425552, 1.0)",#00A1D5,#cccccc,14209.0,14209.0,8.95,8.52,9.31,9.45,51.59,48.41,11.13,5.99,55.44,39.0
13311,"Ag. bolsa, cambio y otros servicios financieros",3. Técnicos,1. Trabajadores  no manuales,"(0.491022, 0.117179, 0.425552, 1.0)",#00A1D5,#cccccc,7623.7,7623.7,9.15,9.04,9.23,9.4,8.97,91.03,0.0,7.84,30.38,28.5
13312,Of. Préstamos y créditos,3. Técnicos,1. Trabajadores  no manuales,"(0.491022, 0.117179, 0.425552, 1.0)",#00A1D5,#cccccc,41292.9,41292.9,9.04,8.7,8.92,9.43,59.52,40.48,0.8,5.83,33.86,49.0
13313,Tenedores de libros,3. Técnicos,1. Trabajadores  no manuales,"(0.491022, 0.117179, 0.425552, 1.0)",#00A1D5,#cccccc,38456.0,38456.0,8.83,8.31,8.91,9.47,24.9,75.1,11.45,5.64,50.67,56.0
13314,Prof. med. estadística y afines,3. Técnicos,1. Trabajadores  no manuales,"(0.491022, 0.117179, 0.425552, 1.0)",#00A1D5,#cccccc,2608.3,2608.3,,,,,0.0,100.0,100.0,,,
13315,Tasadores,3. Técnicos,1. Trabajadores  no manuales,"(0.491022, 0.117179, 0.425552, 1.0)",#00A1D5,#cccccc,8322.0,8322.0,6.6,7.22,8.43,8.92,10.56,89.44,0.0,7.8,34.45,47.0
