v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median,x,y,community
3300,"Mantenimiento, reparación e instalación de maquinaria y equipo",C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",48272.64,48272.64,8.87,0.63,8.99,6.19,93.81,9.5,5.08,2.11,47.55,17.89,42.0,368.9602661132813,265.240234375,C08
3501,"Generación, transmisión y distribución de energía eléctrica","D. Suministro de Electricidad, Gas, Vapor y Aire Acondicionado ","BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.9922, 0.7529, 0.5255, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",140828.74,140828.74,8.95,0.73,8.87,14.3,85.7,40.29,5.12,1.99,52.81,18.4,49.0,67.81405639648438,12.1692476272583,C03
3502,Fabricación de gas,"D. Suministro de Electricidad, Gas, Vapor y Aire Acondicionado ","BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.9922, 0.7529, 0.5255, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",42441.91,42441.91,9.04,0.54,9.18,25.42,74.58,41.23,3.61,1.25,46.02,12.69,43.0,298.8943176269531,237.6438446044922,C09
3600,"Captación, tratamiento y suministro de agua",E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",53658.18,53658.18,9.01,0.67,8.85,11.72,88.28,46.16,4.8,1.82,49.81,14.41,45.0,180.64756774902344,257.1438903808594,C07
3700,Alcantarillado,E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1579.0,1579.0,8.12,0.04,8.12,0.0,100.0,100.0,2.93,1.0,60.8,16.96,62.0,313.097900390625,646.4966430664062,C08
3800,"Recolección, tratamiento y eliminación de desechos",E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",115410.36,115410.36,8.38,0.98,8.44,20.95,79.05,28.71,3.51,1.9,39.31,14.98,37.5,209.8896942138672,-457.5232543945313,C03
3900,Actividades de saneamiento,E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",6487.21,6487.21,8.27,0.38,8.67,67.96,32.04,90.3,7.04,1.77,36.41,12.86,47.0,263.8334655761719,211.3101348876953,C07
4000,Construcción,F. Construcción,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2996444.55,2996444.55,8.44,0.81,8.35,4.46,95.54,5.09,3.84,1.58,40.52,16.7,37.0,592.0637817382812,-736.5662841796875,C00
4501,Venta de vehículos automotores,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",108744.11,108744.11,8.96,0.81,8.73,16.06,83.94,0.0,5.42,1.95,43.97,15.04,40.0,-94.86467742919922,41.56277084350586,C04
4502,Reparación de vehículos,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",553182.25,553182.25,8.52,0.82,8.51,6.2,93.8,0.06,4.13,1.56,43.94,18.87,41.0,314.1121520996094,-233.6294708251953,C04
4503,"Venta de partes, piezas y accesorios de vehículos",G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",75302.13,75302.13,8.89,0.66,8.8,18.97,81.03,0.0,4.86,1.81,44.12,14.68,43.5,-189.2998046875,83.9476547241211,C04
4504,"Venta, mantenimiento y reparación de motocicletas",G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",60513.89,60513.89,7.73,1.24,7.94,7.88,92.12,0.0,3.56,1.26,33.46,17.81,30.0,52.21248245239258,132.29478454589844,C04
4800,Comercio (general),G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",564154.71,564154.71,8.6,0.79,8.52,55.95,44.05,0.0,4.98,1.83,43.48,17.1,39.0,-441.6746215820313,42.52057647705078,C01
4801,Comercio de intermediación,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",179420.32,179420.32,8.69,0.82,8.74,40.96,59.04,0.0,5.73,1.92,38.49,16.7,33.5,-120.22676849365234,38.08186721801758,C04
4802,Comercio de materias primas agropecuarias,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",69356.73,69356.73,8.06,0.77,8.22,49.73,50.27,0.0,4.04,1.23,34.59,14.85,35.0,-174.91453552246094,132.61962890625,C04
4803,Comercio alimentos/bebidas,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",689344.72,689344.72,8.13,0.97,8.06,51.46,48.54,1.48,4.34,1.59,39.04,16.69,35.0,-441.697021484375,50.13458251953125,C01
4804,Comercio textiles y avíos,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",655236.92,655236.92,8.1,0.92,8.29,82.84,17.16,0.04,5.04,1.85,38.28,17.3,33.0,-447.2325134277344,41.189918518066406,C01
4805,Comercio de materiales de construcción,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",205981.76,205981.76,8.77,0.56,8.7,22.54,77.46,0.0,4.76,1.83,44.86,16.7,46.5,-327.298095703125,66.67276000976562,C04
4806,Comercio de combustibles para vehículos,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",88603.59,88603.59,8.89,0.51,8.85,36.44,63.56,4.94,4.79,1.44,42.75,17.84,38.0,-260.7255859375,139.20074462890625,C04
4807,Comercio mercaderías n.c.p.,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",585942.04,585942.04,8.41,0.96,8.48,49.29,50.71,0.0,5.25,1.99,43.11,17.07,44.0,-400.7251586914063,49.38926315307617,C01
4808,Tiendas no especializadas,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",970849.55,970849.55,8.37,0.92,8.42,62.53,37.47,0.19,4.51,1.63,40.14,16.34,39.0,-455.7991333007813,29.55348396301269,C01
4809,Tiendas no especializadas sin predomina,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",110086.75,110086.75,8.42,0.93,8.32,56.3,43.7,0.0,5.76,2.13,39.56,14.49,40.0,-236.8398895263672,67.82962799072266,C04
4810,Venta al por menor en puestos móviles y,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",165093.91,165093.91,8.07,0.97,8.01,50.35,49.65,0.0,4.04,1.44,40.76,15.88,43.0,-340.10955810546875,131.6106414794922,C04
4811,Venta al por menor por correo o televisión,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",93092.05,93092.05,7.78,1.09,7.34,73.86,26.14,0.0,4.96,2.39,39.23,13.73,37.0,-232.21603393554688,102.77764892578124,C04
4900,Transporte (general),H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",9754.81,9754.81,9.36,0.86,9.05,24.4,75.6,0.0,4.9,1.61,38.44,8.02,39.0,260.49627685546875,431.4339599609375,C07
4901,Transporte ferroviario,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",109026.68,109026.68,9.11,0.61,8.74,2.93,97.07,86.27,4.3,2.0,55.58,20.65,66.0,230.7149200439453,139.90048217773438,C08
4902,Transporte por metro,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",3034.49,3034.49,8.99,0.0,8.99,0.0,100.0,0.0,5.0,0.0,42.0,0.0,42.0,397.0276489257813,485.3722839355469,C07
4903,Transporte de pasajeros,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",665707.53,665707.53,8.8,0.84,8.7,8.49,91.51,4.87,4.42,1.48,45.21,13.73,46.0,-143.58734130859375,-376.6905517578125,C00
4904,Transporte automotor de cargas,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",390717.6,390717.6,8.89,0.84,8.85,6.11,93.89,4.85,3.83,1.45,48.33,16.54,48.0,37.72775268554688,-295.4170837402344,C00
4909,Transporte terrestre n.c.p.,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",323.0,323.0,9.21,0.0,9.21,0.0,100.0,0.0,6.0,0.0,20.0,0.0,20.0,492.6088562011719,694.5909423828125,C10
5000,Transporte por vía acuática,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",16761.87,16761.87,9.03,0.77,9.05,9.68,90.32,29.26,4.38,2.53,56.19,19.31,59.5,234.67437744140625,453.694091796875,C10
5100,Transporte aéreo,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",62841.62,62841.62,9.26,0.61,9.39,79.59,20.41,17.78,6.23,1.81,44.22,17.33,49.0,533.8976440429688,-11.163958549499512,C08
5201,Depósito y almacenamiento,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",147678.6,147678.6,8.78,0.73,8.7,20.02,79.98,10.12,4.7,1.68,39.43,11.9,36.5,123.0771713256836,31.51995849609375,C03
5202,Servicios auxiliares al transporte,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",72520.56,72520.56,8.72,0.8,8.52,28.73,71.27,26.04,5.08,1.82,40.3,15.84,39.0,-163.50686645507812,176.82907104492188,C04
5300,Correo y servicio de mensajería,H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",228432.27,228432.27,8.61,0.79,8.57,13.15,86.85,13.77,4.77,1.82,40.21,15.92,42.0,-161.08705139160156,-206.26007080078125,C03
5500,"Servicios de alojamiento en hoteles, campamentos y otros hospedajes temporales",I. Alojamiento y Servicios de Comidas,"GI. Comercio, alojamiento y comidas","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",140646.49,140646.49,8.38,0.97,8.52,58.12,41.88,7.65,4.25,1.73,45.52,20.09,46.0,-135.97401428222656,-117.43624877929688,C02
5601,Expendio comidas/bebidas,I. Alojamiento y Servicios de Comidas,"GI. Comercio, alojamiento y comidas","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",1225814.17,1225814.17,8.26,1.02,8.24,57.18,42.82,2.88,4.83,1.93,37.24,16.82,32.0,-499.9369201660156,-43.962158203125,C01
5602,Expendio comidas/bebidas,I. Alojamiento y Servicios de Comidas,"GI. Comercio, alojamiento y comidas","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",28560.13,28560.13,7.86,0.92,8.15,64.58,35.42,0.0,3.43,1.44,35.34,14.19,39.0,-431.4270935058594,288.2031555175781,C04
5800,"Edición de libros, periódicos y otras publicaciones",J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",54386.59,54386.59,8.77,0.53,8.7,34.68,65.32,16.08,7.29,1.66,46.29,13.92,38.5,-145.55084228515625,-9.058526992797852,C06
5900,Actividades cinematográficas,J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",56308.17,56308.17,8.92,0.6,8.85,19.51,80.49,15.7,7.25,2.21,46.0,16.71,36.0,-205.7318420410156,18.879112243652344,C06
6000,Actividades de programación y difusión,J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",23036.74,23036.74,8.4,1.0,8.58,45.35,54.65,20.13,5.68,1.81,42.59,17.53,38.0,-163.0928497314453,29.388038635253903,C06
6100,Telecomunicaciones,J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",170941.65,170941.65,8.83,0.62,8.89,48.43,51.57,8.54,5.49,2.0,38.44,18.77,36.0,-89.23662567138672,-20.12388610839844,C03
6200,Actividades de programación y consultoría informática,J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",70016.23,70016.23,9.06,0.71,9.21,24.42,75.58,0.8,8.41,0.93,35.43,6.66,32.0,-52.723663330078125,-25.906911849975582,C06
6300,Actividades de servicios de información,J. Información y Comunicación,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.5804, 0.2157, 0.5941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",80587.19,80587.19,9.01,0.4,8.99,39.42,60.58,45.1,6.7,1.65,35.17,12.79,33.0,-188.0525360107422,-119.98330688476562,C06
6400,Intermediación financiera,K. Actividades Financieras y de Seguros,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.9412, 0.0078, 0.498, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",288276.63,288276.63,9.13,0.61,9.13,37.9,62.1,27.38,5.75,2.29,46.5,19.05,50.0,18.107799530029297,-159.0794677734375,C03
6500,"Seguros, reaseguros y fondos de pensiones",K. Actividades Financieras y de Seguros,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.9412, 0.0078, 0.498, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",146673.68,146673.68,8.6,1.0,9.02,38.34,61.66,3.26,6.51,1.73,42.66,15.33,48.0,-20.22175407409668,-186.4867248535156,C03
6600,Actividades auxiliares a los servicios,K. Actividades Financieras y de Seguros,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.9412, 0.0078, 0.498, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",2444.45,2444.45,,,,0.0,100.0,0.0,,,,,,-1137.8341064453125,2384.509765625,
6800,Actividades inmobiliarias,L. Actividades Inmobiliarias,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.9412, 0.0078, 0.498, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",97660.56,97660.56,8.83,0.92,8.78,43.43,56.57,0.75,6.67,1.52,52.42,15.71,57.5,31.30950927734375,-77.66497802734375,C03
6900,Actividades jurídicas y de contabilidad,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",501709.78,501709.78,9.1,0.86,8.99,47.93,52.07,2.43,7.94,1.7,42.57,16.06,42.0,-7.80966329574585,-386.4088745117188,C00
7000,Actividades de servicios de consultoría,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",40550.75,40550.75,8.88,0.55,9.06,17.6,82.4,1.83,8.15,1.6,47.64,15.46,56.5,92.28789520263672,280.2679443359375,C08
7100,Servicios de arquitectura e ingeniería,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",191890.8,191890.8,9.33,0.77,9.32,20.14,79.86,10.75,8.59,0.92,46.94,17.34,41.5,200.22592163085935,-225.21405029296875,C03
7200,Investigación y desarrollo,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.9411764705882353, 0.00784313725490196, 0.4980392156862745, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",74699.0,74699.0,9.49,0.57,9.49,61.5,38.5,80.2,8.13,1.76,46.42,15.81,45.0,-253.5100860595703,-9.518274307250977,C04
7301,Actividades publicitarias,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",78183.84,78183.84,8.44,1.45,8.75,52.13,47.87,0.13,7.03,1.85,34.21,11.68,31.5,-172.21762084960938,-33.73152542114258,C06
7302,Investigación de mercados y encuestas de opinión pública,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",12033.4,12033.4,8.73,0.65,8.78,37.97,62.03,21.68,7.66,1.53,37.6,11.64,34.5,271.541259765625,292.9311218261719,C09
7400,"Otras actividades profesionales, científicas y técnicas","M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",137332.7,137332.7,8.83,0.46,8.74,47.66,52.34,3.01,6.63,2.14,40.81,10.9,39.0,-183.415771484375,-136.32566833496094,C06
7500,Actividades veterinarias,"M. Actividades Profesionales, Científicas y Técnicas ","JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.8451, 0.1824, 0.2941, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",35770.57,35770.57,9.35,0.89,9.14,50.18,49.82,10.73,8.39,1.38,47.11,15.21,40.5,3.556727409362793,167.14569091796875,C07
7701,Alquiler de efectos personales y domésticos,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",5676.96,5676.96,8.77,1.18,9.21,82.9,17.1,0.0,6.75,1.41,29.2,5.76,27.0,62.17079925537109,414.6593627929688,C10
7702,Alquiler de vehículos de transporte,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",10880.17,10880.17,8.62,1.27,8.23,0.0,100.0,0.0,5.26,2.01,42.44,12.39,41.5,152.95533752441406,455.1618347167969,C10
7800,Actividades relacionadas con el suministro de personal,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",24104.12,24104.12,9.62,0.49,9.43,49.95,50.05,9.78,6.63,2.04,31.09,8.33,30.0,249.33045959472656,299.03643798828125,C07
7900,Agencias de viajes y operadores turísticos,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",64051.52,64051.52,8.9,0.33,8.85,69.92,30.08,9.54,6.51,2.1,44.34,12.8,47.0,-209.4484100341797,161.76290893554688,C04
8000,Actividades de investigación y seguridad,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",137764.79,137764.79,8.67,0.77,8.74,10.4,89.6,11.4,4.47,1.74,38.65,13.06,39.0,-89.772216796875,-257.4238586425781,C02
8101,Servicios de apoyo a edificios,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",523627.16,523627.16,8.62,0.76,8.68,37.02,62.98,36.16,4.23,1.69,45.04,15.07,46.0,-175.82728576660156,-355.8085327148437,C02
8102,Servicios de paisajismo y jardinería,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",181629.2,181629.2,7.96,1.06,7.82,11.24,88.76,4.95,3.61,1.72,41.04,17.91,36.0,52.000099182128906,-484.2751159667969,C02
8200,Actividades administrativas de oficinas,N. Actividades Administrativas y Servicios de Apoyo,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",219441.91,219441.91,8.58,0.75,8.52,54.57,45.43,2.19,5.44,2.12,39.56,15.05,38.0,-1.438204050064087,-68.3502197265625,C03
8400,Administración Pública y Defensa; Planes de Seguro Social Obligatorio,O. Administración Pública y Defensa,"JKLMNOPQRS. Servicios, adm. pública, educación y salud","(0.7490196078431373, 0.3568627450980392, 0.09019607843137253, 1.0)","(0.749, 0.3569, 0.0902, 1.0)","(0.6199, 0.3013, 0.3398, 1.0)",8588.0,8588.0,9.49,0.97,9.07,37.21,62.79,87.91,7.89,1.42,51.55,13.51,59.5,203.29473876953125,391.7149353027344,C07
