v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median,x,y,community
11221,Dir. Ventas y com,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,64299.33,64299.33,8.8,0.73,8.52,16.52,83.48,0.0,7.4,1.78,49.39,12.18,53.0,62.06370162963867,526.7410888671875,C09
11222,Dir. Publicidad y rel públicas,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,777.0,777.0,9.24,0.0,9.24,0.0,100.0,0.0,5.0,0.0,72.0,0.0,72.0,-650.5952758789062,453.3263549804688,C11
11223,Dir R&D,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.129285, 0.047293, 0.290788, 1.0)",#374E55,#cccccc,4047.1,4047.1,,,,0.0,100.0,0.0,,,,,,-222.09336853027344,-159.52284240722656,C27
11300,Dir. Producción,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11310,Dir. Prod agropecuaria,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11311,Dir. Prod agropecuaria,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,18196.68,18196.68,8.92,0.55,9.08,20.88,79.12,6.69,6.65,2.33,58.36,18.69,66.0,-302.6513671875,-612.2691040039062,C10
11312,Dir. Prod pisicultura,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11320,"Dir. Ind manufacturera, minería",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,1300.0,1300.0,,,,0.0,100.0,0.0,7.0,0.0,67.0,0.0,67.0,-718.4948120117188,384.5220336914063,C05
11321,Dir. Ind manufacturera,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,54564.77,54564.77,8.89,0.73,8.85,44.99,55.01,4.48,5.4,2.3,60.65,15.71,56.5,462.4302368164063,159.23167419433594,C07
11322,Dir. minería,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,6254.33,6254.33,9.92,0.3,9.98,0.0,100.0,60.02,5.84,1.38,59.68,11.04,45.0,-557.9246826171875,726.717529296875,C18
11323,Dir. emp. construcción,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,3091.53,3091.53,9.11,0.0,9.11,0.0,100.0,0.0,9.0,0.0,38.0,0.0,38.0,-37.93164443969727,666.3816528320312,C02
11324,"Dir. emp. abastecimiento, distribución y afines",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,20333.5,20333.5,9.34,0.48,9.25,18.9,81.1,41.7,4.43,0.8,57.02,14.25,59.5,531.3209838867188,22.850505828857425,C19
11330,Dir. serv. IT,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,9894.85,9894.85,8.91,0.56,8.52,63.8,36.2,3.06,8.77,0.42,38.94,8.56,35.5,-159.31942749023438,295.20330810546875,C20
11340,Dir. serv. profesionales,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11341,Dir. Cuidados infantiles,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
11342,Dir. serv. salud,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,15185.72,15185.72,9.4,0.44,9.31,68.77,31.23,10.02,7.13,2.14,60.25,15.47,56.0,-209.5614776611328,-355.5724792480469,C03
11343,Dir. Cuid. Pers edad.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,,,,
