v183cno,cnolabel,v183ciuo_2digits
46.1.3.2,"Cuenta propia con operación de sistemas y/o equipos informatizados de los servicios sociales, comunales, políticos, gremiales y religiosos con calificación técnica",34
46.2.0.2,"Jefe de los servicios sociales, comunales, políticos, gremiales y religiosos con calificación técnica",34
46.2.0.3,"Jefe de los servicios sociales, comunales, políticos, gremiales y religiosos con calificación operativa",34
46.3.1.2,"Trabajadores sin operación de maquinarias de servicios sociales, comunales, políticos, gremiales y religiosos con calificación técnica",34
46.3.1.3,"Trabajadores sin operación de maquinarias de servicios sociales, comunales, políticos, gremiales y religiosos con calificación operativa",34
50.1.1.2,Cuenta propia sin operación de maquinarias del arte con calificación técnica,34
50.1.1.3,Cuenta propia sin operación de maquinarias del arte con calificación operativa,34
50.1.2.2,Cuenta propia con operación de maquinarias y/o equipos electromecánicos del arte con calificación técnica,34
50.2.0.2,Jefes del arte con calificación técnica,34
50.3.1.2,Trabajadores sin operación de maquinarias del arte con calificación técnica,34
50.3.1.3,Trabajadores sin operación de maquinarias del arte con calificación operativa,34
50.3.2.2,Operadores de maquinaria y/o equipos electromecánicos del arte con calificación técnica,34
51.1.1.2,Cuenta propia sin operación de maquinarias del deporte con calificación técnica,34
51.2.0.2,Jefes del deporte con calificación técnica,34
51.3.1.2,Trabajadores sin operación de maquinarias del deporte con calificación técnica,34
51.3.2.2,Operadores de maquinaria y/o equipos electromecánicos del deporte con calificación técnica,34
51.3.3.2,Operadores de sistemas y/o equipos informatizados del deporte con calificación técnica,34
52.1.1.2,Cuenta propia sin operación de maquinarias de la recreación con calificación técnica,34
52.1.2.2,Cuenta propia con operación de máquinas y/o equipos electromecánicas de la recreación con calificación técnica,34
52.1.2.3,Cuenta propia con operación de máquinas y/o equipos electromecánicas de la recreación con calificación operativa,34
52.1.3.3,Cuenta propia con operación de máquinas y/o equipos informatizados de la recreación con calificación operativa,34
52.2.0.2,Jefes de la recreación con calificación técnica,34
52.3.1.2,Trabajadores sin operación de maquinarias de la recreación con calificación técnica,34
52.3.2.2,Operadores de maquinarias y/o equipos electromecánicos de la recreación con calificación técnica,34
52.3.2.3,Operadores de maquinarias y/o equipos electromecánicos de la recreación con calificación operativa,34
52.3.3.3,Operadores de sistemas y/o equipos informatizados de la recreación con calificación operativa,34
53.1.1.2,Cuenta propia sin operación de maquinarias de servicios gastronómicos con calificación técnica,34
53.1.3.2,Cuenta propia con operación de sistemas y/o equipos informatiza dos de servicios gastronómicos con calificación técnica,34
53.2.0.2,Jefes de servicios gastronómicos con calificación técnica,34
53.3.1.2,Trabajadores sin operación de maquinarias de servicios gastronómicos con calificación técnica,34
58.1.1.2,Cuenta propia sin operación de maquinarias de otras ocupaciones de los servicios sociales varios con calificación técnica,34
58.1.2.2,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de otras ocupaciones de los servicios sociales varios con calificación operativa,34
58.2.0.2,Jefes de otras ocupaciones de los servicios sociales varios con calificación técnica,34
58.3.1.2,Trabajadores sin operación de maquinarias de otros servicios con calificación técnica,34
35.1.1.2,Cuenta propia sin operación de maquinarias de las telecomunicaciones con calificación técnica,35
35.1.2.2,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de las telecomunicaciones con calificación técnica,35
35.1.3.2,Cuenta propia con operación de sistemas y/o equipos informatizados de las telecomunicaciones con calificación técnica,35
35.2.0.2,Jefes de las telecomunicaciones con calificación técnica,35
35.3.1.2,Trabajadores sin operación de maquinarias de las telecomunicaciones con calificación técnica,35
35.3.2.2,Operadores de maquinaria y equipos electromecánicos de las telecomunicaciones con calificación técnica,35
35.3.3.2,Operadores de equipos y sistemas informatizados de telecomunicaciones con calificación técnica,35
45.1.1.3,Cuenta propia sin operación de maquinarias de la comunicación de masas con calificación operativa,35
45.1.2.2,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comunicación de masas con calificación técnica,35
45.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comunicación de masas con calificación operativa,35
45.1.3.2,Cuenta propia con operación de sistemas y/o equipos informatizados de la comunicación de masas con calificación técnica,35
45.1.3.3,Cuenta propia con operación de sistemas y/o equipos informatizados de la comunicación de masas con calificación operativa,35
45.3.1.3,Trabajadores sin operación de maquinarias de la comunicación de masas con calificación operativa,35
45.3.2.2,Operadores de maquinaria y/o equipos electromecánicos de la comunicación de masas con calificación técnica,35
45.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de la comunicación de masas con calificación operativa,35
45.3.3.2,Operadores de sistemas y/o equipos informatizados de la comunicación de masas con calificación técnica,35
45.3.3.3,Operadores de sistemas y/o equipos informatizados de la comunicación de masas con calificación operativa,35
47.3.2.2,Operadores de maquinaria y/o equipos electromecánicos de los servicios de vigilancia y seguridad civil con calificación técnica,35
47.3.3.2,Operadores de sistemas y/o equipos informatizados de los servicios de vigilancia y seguridad civil con calificación técnica,35
48.3.2.2,Operadores de maquinaria y/o equipos electromecánicos de los servicios de policía con calificación técnica,35
48.3.3.1,Operadores de sistemas y/o equipos informatizados de los servicios de policía con calificación profesional,35
50.1.3.2,Cuenta propia con operación de sistemas y/o equipos informatizados del arte con calificación técnica,35
50.3.3.2,Operadores de sistemas y/o equipos informatizados del arte con calificación técnica,35
58.3.3.2,Operadores de sistemas  y/o equipos informatizados de otras ocupaciones de los servicios sociales varios con calificación técnica,35
81.1.3.2,Operadores de sistemas y/o equipos informatizados de la  producción industrial y artesanal con calificación técnica,35
81.2.0.2,Cuenta propia de la producción de software con calificación técnica,35
81.3.3.2,Jefes de la producción de software con calificación técnica,35
92.1.1.2,Trabajadores sin operación de maquinarias del desarrollo tecnológico con calificación operativa,35
92.1.3.2,Cuenta propia sin operación de maquinarias de la instalación y mantenimiento de maquinaria equipos y sistemas de la prestación de servicios con calificación técnica,35
92.3.1.2,Jefes de la instalación y mantenimiento de maquinaria y equipos de la prestación de servicios con calificación técnica,35
92.3.3.2,"Operadores de maquinaria y/o equipos electromecánicos de la instalación y mantenimiento de maquinaria, equipos y sistemas de la prestación de servicios con calificación operativa",35
10.1.1.3,"Cuenta propia sin operación de maquinarias de la gestión administrativa, planificación y control de gestión con calificación operativa",41
10.1.2.3,"Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la gestión administrativa, planificación y control de gestión con calificación operativa",41
10.1.3.3,"Cuenta propia con operación de sistemas y/o equipos informatizados de la gestión administrativa, planificación y control de gestión con calificación operativa",41
10.2.0.3,"Jefes de gestión administrativa, de planificación, y control de gestión con calificación operativa",41
10.3.1.3,"Trabajadores sin operación de maquinarias de gestión administrativa, de planificación y control de gestión con calificación operativa",41
10.3.3.3,"Operadores de sistemas y/o equipos informatizados de las ocupaciones de la administración, planificación y control de gestión con calificación operativa",41
11.1.1.3,Cuenta propia sin operación de maquinarias de la gestión jurídico legal con calificación operativa,41
11.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la gestión jurídico legal con calificación operativa,41
11.2.0.3,Jefes de la gestión jurídico legal con calificación operativa,41
11.3.1.3,Trabajadores sin operación de maquinarias de la gestión jurídico legal con calificación operativa,41
11.3.1.4,Trabajadores sin operación de maquinarias de la gestión jurídico legal no calificados,41
11.3.3.3,Operadores de sistemas y/o equipos informatizados de las ocupaciones jurídico legales con calificación operativa,41
81.1.3.3,Operadores de sistemas y/o equipos informatizados de la  producción industrial y artesanal con calificación operativa,41
81.2.0.3,Cuenta propia de la producción de software con calificación operativa,41
81.3.3.3,Jefes de la producción de software con calificación operativa,41
20.1.1.3,"Ocupación de la gestión presupuestaria, contable y financiera con calificación operativa",42
20.2.0.3,"Jefes de gestión presupuestaria, contable y financiera con calificación operativa",42
35.3.2.3,Operadores de maquinaria y equipos electromecánicos de las telecomunicaciones con calificación operativa,42
42.1.1.3,Cuenta propia sin operación de maquinarias de la investigación científica y tecnológica con calificación operativa,42
42.3.1.3,Trabajadores sin operación de maquinarias de la investigación científica y tecnológica con calificación operativa,42
52.2.0.3,Jefes de la recreación con calificación operativa,42
52.3.1.3,Trabajadores sin operación de maquinarias de la recreación con calificación operativa,42
54.1.1.3,Cuenta propia sin operación de maquinarias de los servicios de alojamiento y turismo con calificación operativa,42
54.2.0.2,Jefes del alojamiento y turismo con calificación operativa,42
54.3.1.3,Trabajadores sin operación de maquinarias del alojamiento y turismo con calificación operativa,42
54.3.2.3,Operadores de maquinaria y/o equipos electromecánicos del alojamiento y turismo con calificación operativa,42
20.1.3.3,"Cuenta propia con operación de maquinarias y/o equipos informatizados de la gestión presupuestaria, contable y financiera con calificación operativa",43
20.3.3.3,"Operadores de sistemas y/o equipos informatizados de la gestión presupuestaria, contable y financiera con calificación operativa",43
34.1.1.3,Cuenta propia sin operación de maquinarias del transporte con calificación operativa,43
34.2.0.3,Jefes de servicios de transporte con calificación operativa,43
34.3.1.3,Trabajadores sin operación de maquinarias del transporte con calificación operativa,43
36.1.1.3,Cuenta propia sin operación de maquinarias del almacenaje con calificación operativa,43
36.2.0.3,Jefes del almacenaje con calificación operativa,43
36.3.1.3,Trabajadores sin operación de maquinarias del almacenaje con calificación operativa,43
36.3.3.3,Operadores de sistemas y/o equipos informatizados del almacenaje con calificación operativa,43
35.1.1.3,Cuenta propia sin operación de maquinarias de las telecomunicaciones con calificación operativa,44
35.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de las telecomunicaciones con calificación operativa,44
35.1.3.3,Cuenta propia con operación de sistemas y/o equipos informatizados de las telecomunicaciones con calificación operativa,44
35.2.0.3,Jefes de las telecomunicaciones con calificación operativa,44
35.3.1.3,Trabajadores sin operación de maquinarias de las telecomunicaciones con calificación operativa,44
35.3.1.4,Trabajadores sin operación de maquinarias de las telecomunicaciones no calificados,44
35.3.3.3,Operadores de equipos y sistemas informatizados de telecomunicaciones con calificación operativa,44
43.3.1.3,Trabajadores de la asesoría y consultoría con calificación operativa,44
46.1.1.3,"Cuenta propia sin operación de maquinarias de los servicios sociales, comunales, políticos, gremiales y religiosos con calificación operativa",51
51.1.1.3,Cuenta propia sin operación de maquinarias del deporte con calificación operativa,51
51.2.0.3,Jefes del deporte con calificación operativa,51
51.3.1.3,Trabajadores sin operación de maquinarias del deporte con calificación operativa,51
53.1.1.3,Cuenta propia sin operación de maquinarias de servicios gastronómicos con calificación operativa,51
53.2.0.3,Jefes de servicios gastronómicos con calificación operativa,51
53.3.1.3,Trabajadores sin operación de maquinarias de servicios gastronómicos con calificación operativa,51
53.3.2.3,Operadores de maquinarias y/o equipos electromecánicos de servicios gastronómico con calificación operativa,51
54.1.1.2,Cuenta propia sin operación de maquinarias de los servicios de alojamiento y turismo con calificación técnica,51
54.1.2.2,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de los servicios de alojamiento y turismo con calificación operativa,51
54.3.1.2,Trabajadores sin operación de maquinarias del alojamiento y turismo con calificación técnica,51
55.1.1.3,Cuenta propia sin operación de maquinarias de los servicios domésticos con calificación operativa,51
55.2.0.3,Jefe de los servicios domésticos con calificación operativa,51
56.2.0.2,Jefes de los servicios de limpieza no doméstica con calificación técnica,51
56.2.0.3,Jefes de los servicios de limpieza no doméstica con calificación operativa,51
56.3.1.3,Trabajadores sin operación de maquinarias de servicios de limpieza no doméstica con calificación operativa,51
57.1.1.2,Cuenta propia sin operación de maquinarias del cuidado y la atención de las personas con calificación técnica,51
57.1.1.3,Cuenta propia sin operación de maquinarias del cuidado y la atención de las personas con calificación operativa,51
57.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos del cuidado y la atención de las personas con calificación operativa,51
57.2.0.2,Jefes de los servicios del cuidad y la atención de las personas con calificación técnica,51
57.2.0.3,Jefes de los servicios del cuidad y la atención de las personas con calificación operativa,51
57.3.1.2,Trabajadores sin operación de maquinarias del cuidado y la atención de las personas con calificación técnica,51
57.3.1.3,Trabajadores sin operación de maquinarias del cuidado y la atención de las personas con calificación operativa,51
57.3.2.3,Operadores de maquinaria y/o equipos electromecánicos del cuidado y la atención de las personas con calificación operativa,51
57.3.3.3,Operadores de sistemas y/o equipos informatizados del cuidado y la atención de las personas con calificación operativa,51
58.2.0.3,Jefes de otras ocupaciones de los servicios sociales varios con calificación operativa,51
20.3.1.3,"Trabajadores sin operación de maquinarias de la gestión presupuestaria, contable y financiera con calificación operativa",52
30.1.1.3,Cuenta propia sin operación de maquinarias de la comercialización directa (tradicional y telefónicos) con calificación operativa,52
30.1.3.3,Cuenta propia con operación de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos) con calificación operativa,52
30.2.0.3,Jefes de la comercialización directa (tradicional y telefónicos) con calificación operativa,52
30.3.1.3,Vendedores y trabajadores sin operación de maquinarias de comercialización directa (tradicional y telefónicos) con calificación operativa,52
30.3.1.4,Vendedores y trabajadores sin operación de maquinarias de comercialización directa (tradicional y telefónicos) no calificados,52
30.3.2.3,Operadores de maquinarias y/o equipos electromecánicos de la comercialización directa (tradicional y telefónicos) con calificación operativa,52
30.3.3.3,Operadores de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos) con calificación operativa,52
31.1.1.3,"Ocupaciones de corretaje comercial, venta domiciliaria, viajantes y promotores con calificación operativa",52
31.2.0.3,Jefes de viajantes/ corredores y promotores comerciales con calificación operativa,52
31.3.1.3,"Trabajadores sin operación de maquinarias, viajantes, corredores y promotores comerciales con calificación operativa",52
31.3.1.4,"Trabajadores sin operación de maquinarias, viajantes, corredores y promotores comerciales no calificados",52
32.1.1.3,Cuenta propia sin operación de maquinarias de la comercialización indirecta con calificación operativa,52
32.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comercialización indirecta con calificación operativa,52
32.2.0.3,Jefes de comercialización indirecta con calificación operativa,52
32.3.1.3,Trabajadores sin operación de maquinarias de la comercialización indirecta con calificación operativa,52
32.3.1.4,Trabajadores sin operación de maquinarias de la comercialización indirecta no calificados,52
32.3.2.3,Operadores de maquinarias y/o equipos electromecánicos de la comercialización indirecta con calificación operativa,52
33.2.0.3,Jefes de la comercialización ambulante y callejera con calificación operativa,52
33.3.1.4,Vendedores y trabajadores sin operación de maquinarias de la comercialización ambulante y callejera no calificados,52
40.1.1.3,Cuenta propia sin operación de maquinarias de la salud y sanidad con calificación operativa,53
40.2.0.3,Jefes de salud y sanidad con calificación operativa,53
40.3.1.3,Trabajadores sin operación de maquinarias de salud y sanidad con calificación operativa,53
40.3.1.4,Trabajadores sin operación de maquinarias de salud y sanidad no calificados,53
40.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de la salud y sanidad con calificación operativa,53
41.1.1.3,Cuenta propia sin operación de maquinarias de la educación con calificación operativa,53
41.2.0.3,Jefes de la educación con calificación operativa,53
41.3.1.3,Trabajadores sin operación de maquinarias de la educación con calificación operativa,53
41.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de la educación con calificación operativa,53
41.3.3.3,Operadores de sistemas y/o equipos informatizados de la educación con calificación operativa,53
52.1.1.3,Cuenta propia sin operación de maquinarias de la recreación con calificación operativa,53
57.3.1.4,Trabajadores sin operación de maquinarias del cuidado y la atención de las personas no calificados,53
44.2.0.2,"Jefes de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación técnica",54
44.2.0.3,"Jefes de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación operativa",54
44.3.1.2,"Trabajadores sin operación de maquinarias de prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación técnica",54
44.3.1.3,"Trabajadores sin operación de maquinarias de prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación operativa",54
47.1.1.3,Cuenta propia sin operación de maquinarias de los servicios de vigilancia y seguridad civil con calificación operativa,54
47.2.0.3,Jefes de los servicios de vigilancia y seguridad civil con calificación operativa,54
47.3.1.3,Trabajadores sin operación de maquinarias de los servicios de vigilancia y seguridad civil con calificación operativo,54
47.3.1.4,Trabajadores sin operación de maquinarias de los servicios de vigilancia y seguridad civil no calificados,54
47.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de los servicios de vigilancia y seguridad civil con calificación operativa,54
47.3.3.3,Operadores de sistemas y/o equipos informatizados de los servicios de vigilancia y seguridad civil con calificación operativa,54
48.3.1.1,Trabajadores sin operación de maquinarias de servicios policiales con calificación profesional,54
48.3.1.2,Trabajadores sin operación de maquinarias de servicios policiales con calificación técnica,54
48.3.1.3,Trabajadores sin operación de maquinarias de servicios policiales con calificación operativa,54
48.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de los servicios de policía con calificación operativa,54
48.3.3.3,Operadores de sistemas y/o equipos informatizados de los servicios de policía con calificación operativa,54
60.1.1.2,Cuenta propia sin operación de maquinarias de la producción agrícola con calificación técnica,61
60.1.1.3,Cuenta propia sin operación de maquinarias de la producción agrícola con calificación operativa,61
60.2.0.2,Jefes de la producción agrícola con calificación técnica,61
60.2.0.3,Jefes de la producción agrícola con calificación operativa,61
60.3.1.2,Trabajadores sin operación de maquinarias de la producción agrícola con calificación técnica,61
60.3.1.3,Trabajadores sin operación de maquinarias de la producción agrícola con calificación operativa,61
61.1.1.3,Cuenta propia sin operación de maquinarias de la producción ganadera con calificación operativa,61
61.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la producción ganadera con calificación operativa,61
61.1.3.3,Cuenta propia con operación de sistemas y/o equipos informatizados de la producción ganadera con calificación operativa,61
61.2.0.2,Jefes de la producción ganadera con calificación técnica,61
61.2.0.3,Jefes de la producción ganadera con calificación operativa,61
61.3.1.3,Trabajadores sin operación de maquinarias de la producción ganadera con calificación operativa,61
61.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de la producción ganadera con calificación operativa,61
62.2.0.2,Jefes de la producción forestal con calificación técnica,61
63.1.1.3,Cuenta propia sin operación de maquinarias de la producción apícola - avícola y de otras especies menores con calificación operativa,61
63.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la producción apícola - avícola y de otras especies menores con calificación operativa,61
63.2.0.2,Jefes de la producción apícola - avícola y de otras especies menores con calificación técnica,61
63.2.0.3,Jefes de la producción apícola - avícola y de otras especies menores con calificación operativa,61
63.3.1.3,Trabajadores sin operación de maquinarias de la producción apícola - avícola y de otras especies menores con calificación operativa,61
63.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de la producción apícola - avícola y de otras especies menores con calificación operativa,61
63.3.3.3,"Operadores de sistemas, equipos y/o paneles informatizados de la producción de apicultura, avicultura y de otras especies menores con calificación operativa",61
62.1.1.3,Cuenta propia sin operación de maquinarias de la producción forestal con calificación operativa,62
62.2.0.3,Jefes de la producción forestal con calificación operativa,62
62.3.1.3,Trabajadores sin operación de maquinarias de la producción forestal con calificación operativa,62
64.1.1.3,Cuenta propia sin operación de maquinarias de la producción pesquera con calificación operativa,62
64.2.0.3,Jefes de la producción pesquera con calificación operativa,62
64.3.1.3,Trabajadores sin operación de maquinarias de la producción pesquera con calificación operativa,62
64.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de la producción pesquera con calificación operativa,62
65.1.1.3,Cuenta propia sin operación de maquinarias de la caza con calificación operativa,62
65.3.1.3,Trabajadores sin operación de maquinarias de la caza con calificación operativa,62
80.1.1.3,"de energía, agua potable, gas, telefonía y petróleo con calificación operativa",7(2)
80.3.1.3,Jefes de la producción industrial y artesanal con calificación operativa,7(2)
70.1.1.3,Cuenta propia sin operación de maquinarias de la producción extractiva con calificación operativa,71
72.1.1.3,"Cuenta propia sin operación de maquinarias de la construcción edilicia y de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo con calificación operativa",71
72.3.1.3,"Trabajadores sin operación de maquinarias de la construcción edilicia, de obras de infraestructura y de redes de distribución de  energía, agua potable, gas, telefonía y petróleo con calificación operativa",71
82.1.1.3,Operadores de sistemas y/o equipos informatizados de la producción de software con calificación operativa,72
82.1.3.3,Cuenta propia sin operación de maquinarias de la reparación de bienes de consumo con calificación operativa,72
82.2.0.3,Cuenta propia con operación de sistemas y/o equipos informatizados de la reparación de bienes de consumo con calificación técnica,72
82.3.1.3,Jefes de la reparación de bienes de consumo con calificación técnica,72
82.3.3.3,Operadores de maquinaria y/o equipos electromecánicos de la reparación de bienes de consumo con calificación operativa,72
90.1.1.3,Operadores de sistemas y/o equipos informatizados de la reparación de bienes de consumo con calificación operativa,72
90.1.2.3,Cuenta propia sin operación de maquinarias de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación profesional,72
90.2.0.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación profesional,72
90.3.1.3,Jefes de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación operativa,72
90.3.2.3,Trabajadores sin operación de maquinarias de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación técnica,72
92.1.1.3,Operadores de sistemas y/o equipos informatizados de ocupaciones del desarrollo tecnológico productivo con calificación profesional,72
92.2.0.3,Cuenta propia con operación de sistemas y/o equipos informatizados de la instalación y mantenimiento de maquinaria equipos y sistemas de la prestación de servicios con calificación técnica,72
92.3.1.3,Jefes de la instalación y mantenimiento de maquinaria y equipos de la prestación de servicios con calificación operativa,72
92.3.2.3,"Trabajadores sin operación de maquinarias de la instalación y mantenimiento de maquinaria, equipos y sistemas de la prestación de servicios con calificación técnica",72
80.1.1.2,"Operadores de sistemas y/o equipos informatizados de la construcción edilicia, de obras de infraestructura y de la distribución",73
82.1.1.2,Operadores de sistemas y/o equipos informatizados de la producción de software con calificación técnica,74
82.3.1.2,Cuenta propia con operación de sistemas y/o equipos informatizados de la reparación de bienes de consumo con calificación operativa,74
44.1.1.3,"Cuenta propia sin operación de maquinarias de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación operativa",75
82.1.2.3,Cuenta propia sin operación de maquinarias de la reparación de bienes de consumo con calificación profesional,75
82.3.2.3,Trabajadores sin operación de maquinarias de la reparación de bienes de consumo con calificación técnica,75
80.1.2.3,Cuenta propia sin operación de maquinarias de la producción industrial y artesanal con calificación profesional,8 (2)
80.1.3.3,Cuenta propia sin operación de maquinarias de la producción industrial y artesanal con calificación operativa,8(2)
80.3.2.3,Trabajadores sin operación de maquinarias de la producción industrial y artesanal con calificación operativa,8(2)
80.3.3.3,Operadores de maquinaria y/o equipos electromecánicos de la producción industrial y artesanal con calificación operativa,8(2)
56.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de los servicios de limpieza doméstica con calificación operativa,81
56.3.2.3,Operadores de maquinaria/equipos electromecánicos de la limpieza no doméstica con calificación operativa,81
56.3.2.4,Operadores de maquinaria/equipos electromecánicos de la limpieza no doméstica no calificados,81
70.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la producción extractiva con calificación operativa,81
70.3.1.3,Trabajadores sin operación de maquinarias de la producción extractiva con calificación operativa,81
70.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de la producción extractiva con calificación operativa,81
70.3.3.3,Operadores de sistemas y/o equipos informatizados de la producción extractiva con calificación operativa,81
34.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos del transporte con operativa,83
34.3.2.3,Conductores y operadores de maquinaria y/o equipos electromecánicos del transporte con calificación operativa,83
36.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos del almacenaje con calificación operativa,83
36.3.2.3,Operadores de maquinarias y/o equipos electromecánicos del almacenaje con calificación operativa,83
58.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de otras ocupaciones de los servicios sociales varios con calificación técnica,83
58.3.3.3,Operadores de sistemas  y/o equipos informatizados de otras ocupaciones de los servicios sociales varios con calificación operativa,83
60.1.2.2,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la producción agrícola con calificación técnica,83
60.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la producción agrícola con calificación operativa,83
60.1.3.2,Cuenta propia con operación de sistemas y/o equipos informatizados de la producción agrícola con calificación técnica,83
60.3.2.2,Operadores de maquinaria y/o equipos electromecánicos de la producción agrícola con calificación técnica,83
60.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de la producción agrícola con calificación operativa,83
62.1.2.3,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la producción forestal con calificación operativa,83
62.3.2.2,Operadores de maquinaria y/o equipos electromecánicos de la producción forestal con calificación técnica,83
62.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de la producción forestal con calificación operativa,83
62.3.3.2,Operadores de sistemas y/o equipos informatizados de la producción forestal con calificación técnica,83
72.1.2.2,"Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la construcción edilicia y de obras de  infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo con calificación técnica",83
72.1.2.3,"Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la construcción edilicia y de obras de  infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo con calificación operativa",83
72.1.3.2,"Cuenta propia con operación de sistemas y/o equipos informatizados de la construcción edilicia y de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo con calificación técnica",83
72.3.2.2,"Operadores de maquinaria y/o equipos electromecánicos de la construcción edilicia, de obras de infraestructura y de la distribución de energía, agua potable, gas, telefonía y petróleo con calificación técnica",83
72.3.2.3,"Operadores de maquinaria y/o equipos electromecánicos de la construcción edilicia, de obras de infraestructura y de la distribución de energía, agua potable, gas, telefonía y petróleo con calificación operativa",83
72.3.3.3,"Operadores de sistemas y/o equipos informatizados de la construcción edilicia, de obras de infraestructura y de la distribución",83
55.3.1.3,Trabajadores sin operación de maquinarias del servicio doméstico con calificación operativa,91
55.3.1.4,Trabajadores sin operación de maquinarias del servicio doméstico no calificados,91
56.1.1.3,Cuenta propia sin operación de maquinarias de los servicios de limpieza doméstica con calificación operativa,91
56.1.1.4,Cuenta propia sin operación de maquinarias de los servicios de limpieza doméstica no calificados,91
56.3.1.4,Trabajadores sin operación de maquinarias de servicios de limpieza no doméstica no calificados,91
58.1.1.3,Cuenta propia sin operación de maquinarias de otras ocupaciones de los servicios sociales varios con calificación operativa,92
58.3.1.3,Trabajadores sin operación de maquinarias de otros servicios con calificación operativa,92
58.3.2.3,Operadores de maquinaria y/o equipos electromecánicos de otras ocupaciones de los servicios sociales varios con calificación operativa,92
60.1.1.4,Cuenta propia sin operación de maquinarias de la producción agrícola no calificados,92
60.3.1.4,Trabajadores sin operación de maquinarias de la producción agrícola no calificados,92
60.3.2.4,Operadores de maquinaria y/o equipos electromecánicos de la producción agrícola no calificados,92
61.3.1.4,Trabajadores sin operación de maquinarias de la producción ganadera no calificados,92
62.3.1.4,Trabajadores sin operación de maquinarias de la producción forestal no calificados,92
62.3.2.4,Operadores de maquinaria y/o equipos electromecánicos de la producción forestal no calificados,92
63.3.1.4,Trabajadores sin operación de maquinarias de la producción apícola - avícola y de otras especies menores no calificados,92
64.3.1.4,Trabajadores sin operación de maquinarias de la producción pesquera no calificados,92
65.3.1.4,Trabajadores sin operación de maquinarias de la caza no calificados,92
34.3.1.4,Trabajadores sin operación de maquinarias del transporte no calificados,93
36.1.1.4,Cuenta propia sin operación de maquinarias del almacenaje no calificados,93
36.3.1.4,Trabajadores sin operación de maquinarias del almacenaje no calificados,93
36.3.2.4,Operadores de maquinarias y/o equipos electromecánicos del almacenaje no calificados,93
70.3.1.4,Trabajadores sin operación de maquinarias de la producción extractiva no calificados,93
71.3.1.4,"Trabajadores sin operación de maquinarias de la producción de energía, agua y gas no calificados",93
71.3.2.4,"Operadores de maquinaria y/o equipos electromecánicos de la producción de energía, agua y gas no calificados",93
