v183cno,cnolabel,v183ciuo_2digits
72.2.0.1,"Jefes de la construcción edilicia y de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo con calificación profesional",21
72.3.1.1,"Trabajadores sin operación de maquinarias de la construcción edilicia, de obras de infraestructura y de redes de distribución de  energía, agua potable, gas, telefonía y petróleo con calificación profesional",21
72.3.3.1,"Operadores de sistemas y/o equipos informatizados de la construcción edilicia, de obras de infraestructura y de la distribución",21
80.1.1.1,"de energía, agua potable, gas, telefonía y petróleo con calificación técnica",21
80.2.0.1,Cuenta propia con operación de maquinaria y/o equipos electromecánica de la producción industrial y artesanal con calificación operativa,21
80.3.1.1,Jefes de la producción industrial y artesanal con calificación profesional,21
82.1.1.1,Operadores de sistemas y/o equipos informatizados de la producción de software con calificación profesional,21
90.1.1.1,Operadores de maquinaria y/o equipos electromecánicos de la reparación de bienes de consumo no calificados,21
90.1.2.1,Cuenta propia sin operación de maquinarias de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación técnica,21
90.2.0.1,Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación técnica,21
90.3.1.1,Jefes de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes con calificación profesional,21
90.3.3.1,Trabajadores sin operación de maquinarias de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes no calificados,21
91.1.1.1,Operadores de maquinaria y/o equipos electromecánicos de la instalación y mantenimiento de maquinarias y equipos de la producción de bienes no calificados,21
91.1.3.1,Cuenta propia sin operación de maquinarias del desarrollo tecnológico productivo con calificación profesional,21
91.2.0.1,Cuenta propia sin operación de maquinarias del desarrollo tecnológico productivo con calificación técnica,21
91.3.1.1,Cuenta propia con operación de sistemas y/o equipos informatizados del desarrollo tecnológico productivo con calificación profesional,21
91.3.3.1,Trabajadores sin operación de maquinarias del desarrollo tecnológico con calificación profesional,21
92.1.1.1,Trabajadores sin operación de maquinarias del desarrollo tecnológico con calificación técnica,21
92.1.3.1,Cuenta propia sin operación de maquinarias de la instalación y mantenimiento de maquinaria equipos y sistemas de la prestación de servicios con calificación profesional,21
92.2.0.1,Cuenta propia sin operación de maquinarias de la instalación y mantenimiento de maquinaria equipos y sistemas de la prestación de servicios con calificación operativa,21
92.3.1.1,Jefes de la instalación y mantenimiento de maquinaria y equipos de la prestación de servicios con calificación profesional,21
92.3.3.1,"Trabajadores sin operación de maquinarias de la instalación y mantenimiento de maquinaria, equipos y sistemas de la prestación de servicios no calificados",21
30.1.1.1,Cuenta propia sin operación de maquinarias de la comercialización directa (tradicional y telefónicos) con calificación profesional,22
30.2.0.1,Jefes de la comercialización directa (tradicional y telefónicos) con calificación profesional,22
30.3.1.1,Vendedores y trabajadores sin operación de maquinarias de comercialización directa (tradicional y telefónicos) con calificación profesional,22
40.1.1.1,Cuenta propia sin operación de maquinarias de la salud y sanidad con calificación profesional,22
40.1.3.1,Cuenta propia con operación de sistemas y/o equipos informatizados de la salud y la sanidad con calificación profesional,22
40.2.0.1,Jefes de salud y sanidad con calificación profesional,22
40.3.1.1,Trabajadores sin operación de maquinarias de salud y sanidad con calificación profesional,22
40.3.3.1,Operadores de sistemas y/o equipos informatizados y de panel de la salud y sanidad con calificación profesional,22
44.1.1.1,"Cuenta propia sin operación de maquinarias de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación profesional",22
44.1.3.1,"Cuenta propia con operación de sistemas y/o equipos informatizados de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación profesional",22
44.2.0.1,"Jefes de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación profesional",22
44.3.1.1,"Trabajadores sin operación de maquinarias de prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología con calificación profesional",22
61.1.1.1,Cuenta propia sin operación de maquinarias de la producción ganadera con calificación profesional,22
61.1.3.1,Cuenta propia con operación de sistemas y/o equipos informatizados de la producción ganadera con calificación profesional,22
61.2.0.1,Jefes de la producción ganadera con calificación profesional,22
41.1.1.1,Cuenta propia sin operación de maquinarias de la educación con calificación profesional,23
41.1.1.2,Cuenta propia sin operación de maquinarias de la educación con calificación técnica,23
41.1.3.1,Cuenta propia con operación de sistemas y/o equipos informatizados de la educación con calificación profesional,23
41.2.0.1,Jefes de la educación con calificación profesional,23
41.2.0.2,Jefes de la educación con calificación técnica,23
41.3.1.1,Trabajadores sin operación de maquinarias de la educación con calificación profesional,23
41.3.1.2,Trabajadores sin operación de maquinarias de la educación con calificación técnica,23
41.3.3.2,Operadores de sistemas y/o equipos informatizados de la educación con calificación técnica,23
10.1.1.1,"Cuenta propia sin operación de maquinarias de la gestión administrativa, planificación y control de gestión con calificación profesional",24
10.2.0.1,"Jefes de gestión administrativa, de planificación, y control de gestión con calificación profesional",24
10.3.1.1,"Trabajadores sin operación de maquinarias de gestión administrativa, de planificación y control de gestión con calificación profesional",24
10.3.3.1,"Operadores de sistemas y/o equipos informatizados de las ocupaciones de la administración, planificación y control de gestión con calificación profesional",24
20.1.1.1,"Ocupación de la gestión presupuestaria, contable y financiera con calificación profesional",24
20.2.0.1,"Jefes de gestión presupuestaria, contable y financiera con calificación profesional",24
20.3.1.1,"Trabajadores sin operación de maquinarias de la gestión presupuestaria, contable y financiera con calificación profesional",24
20.3.3.1,"Operadores de sistemas y/o equipos informatizados de la gestión presupuestaria, contable y financiera con calificación profesional",24
31.1.1.1,"Ocupaciones de corretaje comercial, venta domiciliaria, viajantes y promotores con calificación profesional",24
31.1.3.1,"Cuenta propia con operación de sistemas y/o equipos informatizados viajantes, corredores comerciales, vendedores domiciliarios y promotores con calificación profesional",24
31.3.1.1,"Trabajadores sin operación de maquinarias, viajantes, corredores y promotores comerciales con calificación profesional",24
