v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
11300,Dir. Producción,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11310,Dir. Prod agropecuaria,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11311,Dir. Prod agropecuaria,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,13.0,13.0,8.82,0.62,9.08,23.08,76.92,7.69,5.85,2.51,63.08,19.57,66.0
11312,Dir. Prod pisicultura,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.142378, 0.046242, 0.308553, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11320,"Dir. Ind manufacturera, minería",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,1.0,1.0,,,,0.0,100.0,0.0,7.0,0.0,67.0,0.0,67.0
11321,Dir. Ind manufacturera,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,28.0,28.0,9.03,0.82,8.85,17.86,82.14,7.14,5.82,2.24,58.64,17.25,56.5
11322,Dir. minería,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,3.0,3.0,9.95,0.44,9.98,0.0,100.0,33.33,7.0,1.63,51.33,11.15,45.0
11323,Dir. emp. construcción,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,1.0,1.0,9.11,0.0,9.11,0.0,100.0,0.0,9.0,0.0,38.0,0.0,38.0
11324,"Dir. emp. abastecimiento, distribución y afines",1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,12.0,12.0,9.5,0.56,9.25,16.67,83.33,16.67,4.58,0.86,56.0,18.99,59.5
11330,Dir. serv. IT,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,4.0,4.0,8.81,0.58,8.52,50.0,50.0,0.0,8.75,0.43,38.25,9.6,35.5
11340,Dir. serv. profesionales,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11341,Dir. Cuidados infantiles,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11342,Dir. serv. salud,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,9.0,9.0,9.29,0.47,9.31,55.56,44.44,22.22,7.11,2.13,59.67,14.53,56.0
11343,Dir. Cuid. Pers edad.,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,0.0,,,,,,,,,,,,
11344,Dir. bienestar social,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,2.0,2.0,9.81,0.65,9.81,0.0,100.0,0.0,6.0,3.0,66.0,12.0,66.0
11345,Dir. Serv. Educación,1. Gerentes y directivos,1. Trabajadores  no manuales,"(0.149073, 0.045468, 0.317085, 1.0)",#374E55,#cccccc,75.0,75.0,9.25,0.64,9.21,76.0,24.0,84.0,7.37,1.36,58.19,11.57,58.0
