v182caes,original_v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
1200,1200,Elaboración de Productos de Tabaco,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
1300,1300,Fabricación de productos textiles,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",26.0,26.0,,,,69.23,30.77,3.85,,,,,
1400,1400,Confección de prendas de vestir,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",58.0,58.0,,,,93.1,6.9,1.72,,,,,
1501,1501,Curtido y terminación de cueros,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",3.0,3.0,,,,33.33,66.67,0.0,,,,,
1502,1502,Fabricación de calzado y sus partes,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",4.0,4.0,,,,100.0,0.0,0.0,,,,,
1600,1600,Producción de madera y materiales de construcción,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",11.0,11.0,,,,0.0,100.0,0.0,,,,,
1700,1700,Fabricación de papel y productos de papel,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",4.0,4.0,,,,50.0,50.0,0.0,,,,,
1800,1800,Actividades de impresión,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",3.0,3.0,,,,66.67,33.33,0.0,,,,,
1900,1900,Fabricación de coque y de productos de la refinación del petróleo,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
1902,1902,Fabricación de productos de la refinación del petróleo,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",5.0,5.0,,,,20.0,80.0,20.0,,,,,
2000,2000,Fabricación de Sustancias y Productos Químicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
2001,2001,Fabricación de pinturas y barnices,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1.0,1.0,,,,100.0,0.0,0.0,,,,,
2002,2002,Fabricación de jabones y detergentes,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",4.0,4.0,,,,25.0,75.0,0.0,,,,,
2009,2009,Fabricación de otros productos químicos n.c.p.,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
2100,2100,Fabricación de productos farmacéuticos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",12.0,12.0,,,,33.33,66.67,16.67,,,,,
2201,2201,Fabricación de productos de caucho,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",3.0,3.0,,,,0.0,100.0,0.0,,,,,
2202,2202,Fabricación de productos de plástico,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",8.0,8.0,,,,25.0,75.0,0.0,,,,,
2301,2301,Fabricación de vidrio,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2.0,2.0,,,,100.0,0.0,0.0,,,,,
2309,2309,Fabricación de productos minerales no metálicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",11.0,11.0,,,,36.36,63.64,9.09,,,,,
2400,2400,Fabricación de metales,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",6.0,6.0,,,,16.67,83.33,0.0,,,,,
2500,2500,Fabricación de productos elaborados de metal,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",50.0,50.0,,,,6.0,94.0,0.0,,,,,
2601,2601,Fabricación de componentes electrónicos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",3.0,3.0,,,,0.0,100.0,33.33,,,,,
2602,2602,Fabricación de equipos informáticos y periféricos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
2603,2603,Fabricación de equipos y aparatos de radio,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",7.0,7.0,,,,42.86,57.14,0.0,,,,,
2604,2604,"Fabricación de equipos electromédicos, ópticos y de precisión ",C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
2700,2700,Fabricación de Maquinaria y Equipos Eléctricos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
2701,2701,Fabricación de aparatos de uso doméstico,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",3.0,3.0,,,,100.0,0.0,0.0,,,,,
2709,2709,Fabricación de otras maquinarias y equipos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",3.0,3.0,,,,66.67,33.33,0.0,,,,,
2800,2800,Fabricación de maquinarias y equipos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2.0,2.0,,,,0.0,100.0,0.0,,,,,
2900,2900,Fabricación de vehículos automotores,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",6.0,6.0,,,,16.67,83.33,0.0,,,,,
3001,3001,Construcción de buques y otras embarcaciones,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2.0,2.0,,,,0.0,100.0,50.0,,,,,
3002,3002,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
3003,3003,Fabricación de aeronaves,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
3009,3009,Fabricación de otros equipos de transporte n.c.p.,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
3100,3100,Fabricación de muebles y colchones,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",23.0,23.0,,,,13.04,86.96,0.0,,,,,
3200,3200,Industrias manufactureras n.c.p,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",11.0,11.0,,,,72.73,27.27,0.0,,,,,
3300,3300,"Mantenimiento, reparación e instalación de maquinaria y equipo",C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",8.0,8.0,,,,0.0,100.0,0.0,,,,,
3501,3501,"Generación, transmisión y distribución de energía eléctrica","D. Suministro de Electricidad, Gas, Vapor y Aire Acondicionado ","BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.9922, 0.7529, 0.5255, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",16.0,16.0,,,,18.75,81.25,18.75,,,,,
3502,3502,Fabricación de gas,"D. Suministro de Electricidad, Gas, Vapor y Aire Acondicionado ","BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.9922, 0.7529, 0.5255, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",7.0,7.0,,,,14.29,85.71,0.0,,,,,
3600,3600,"Captación, tratamiento y suministro de agua",E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",12.0,12.0,,,,25.0,75.0,50.0,,,,,
3700,3700,Alcantarillado,E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",0.0,,,,,,,,,,,,
3800,3800,"Recolección, tratamiento y eliminación de desechos",E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",14.0,14.0,,,,28.57,71.43,35.71,,,,,
3900,3900,Actividades de saneamiento,E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1.0,1.0,,,,0.0,100.0,100.0,,,,,
4000,4000,Construcción,F. Construcción,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",362.0,362.0,,,,6.91,93.09,6.91,,,,,
4501,4501,Venta de vehículos automotores,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",18.0,18.0,,,,22.22,77.78,0.0,,,,,
4502,4502,Reparación de vehículos,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",58.0,58.0,,,,6.9,93.1,1.72,,,,,
4503,4503,"Venta de partes, piezas y accesorios de vehículos",G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",10.0,10.0,,,,30.0,70.0,0.0,,,,,
4504,4504,"Venta, mantenimiento y reparación de motocicletas",G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",5.0,5.0,,,,20.0,80.0,0.0,,,,,
4800,4800,Comercio (general),G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",77.0,77.0,,,,53.25,46.75,0.0,,,,,
4801,4801,Comercio de intermediación,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",20.0,20.0,,,,15.0,85.0,0.0,,,,,
4802,4802,Comercio de materias primas agropecuarias,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",6.0,6.0,,,,50.0,50.0,0.0,,,,,
4803,4803,Comercio alimentos/bebidas,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",185.0,185.0,,,,54.05,45.95,2.16,,,,,
4804,4804,Comercio textiles y avíos,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",115.0,115.0,,,,82.61,17.39,0.87,,,,,
4805,4805,Comercio de materiales de construcción,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",34.0,34.0,,,,23.53,76.47,0.0,,,,,
4806,4806,Comercio de combustibles para vehículos,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",13.0,13.0,,,,69.23,30.77,7.69,,,,,
4807,4807,Comercio mercaderías n.c.p.,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",129.0,129.0,,,,51.16,48.84,0.0,,,,,
4808,4808,Tiendas no especializadas,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",97.0,97.0,,,,62.89,37.11,1.03,,,,,
4809,4809,Tiendas no especializadas sin predomina,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",1.0,1.0,,,,100.0,0.0,0.0,,,,,
4810,4810,Venta al por menor en puestos móviles y,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",27.0,27.0,,,,44.44,55.56,0.0,,,,,
4811,4811,Venta al por menor por correo o televisión,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",12.0,12.0,,,,50.0,50.0,0.0,,,,,
4900,4900,Transporte (general),H. Transporte y Almacenamiento,H. Transporte y Almacenamiento,"(0.2196078431372549, 0.4235294117647059, 0.6901960784313725, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)","(0.2196, 0.4235, 0.6902, 1.0)",1.0,1.0,,,,0.0,100.0,0.0,,,,,
