algorithm,resolution,num_communities,seed,modularity
infomap,0.1,2,43667,0.0
infomap,0.1,2,55824,0.0
infomap,0.1,2,14480,0.0
infomap,0.1,2,57991,0.0
infomap,0.1,2,54596,0.0
infomap,0.1,2,50180,0.0
infomap,0.1,2,50469,0.0
infomap,0.18846716378431197,3,43667,0.0013665191366811409
infomap,0.18846716378431197,3,55824,0.0013665191366811409
infomap,0.18846716378431197,3,14480,0.0013665191366811409
infomap,0.18846716378431197,3,57991,0.0013665191366811409
infomap,0.18846716378431197,3,54596,0.0013665191366811409
infomap,0.18846716378431197,3,50180,0.0013665191366811409
infomap,0.18846716378431197,3,50469,0.0013665191366811409
infomap,0.3551987182490266,10,43667,0.4107515574332807
infomap,0.3551987182490266,12,55824,0.4872226301364053
infomap,0.3551987182490266,9,14480,0.44298560057939074
infomap,0.3551987182490266,11,57991,0.4127229989566433
infomap,0.3551987182490266,11,54596,0.45510590478954144
infomap,0.3551987182490266,11,50180,0.4743450724025252
infomap,0.3551987182490266,10,50469,0.464241628651737
infomap,0.6694329500821696,24,43667,0.6504513075981742
infomap,0.6694329500821696,24,55824,0.6527704138187679
infomap,0.6694329500821696,23,14480,0.6529350453640649
infomap,0.6694329500821696,21,57991,0.6540856632913654
infomap,0.6694329500821696,24,54596,0.6512427469934815
infomap,0.6694329500821696,24,50180,0.6527704138187679
infomap,0.6694329500821696,24,50469,0.65060159251164
infomap,1.2616612944575138,7,43667,0.4432531883431815
infomap,1.2616612944575138,7,55824,0.44153543249038274
infomap,1.2616612944575138,7,14480,0.4491719484508928
infomap,1.2616612944575138,7,57991,0.45113862899277
infomap,1.2616612944575138,7,54596,0.44607042516148077
infomap,1.2616612944575138,7,50180,0.4364159902187086
infomap,1.2616612944575138,7,50469,0.4491719484508928
infomap,2.377817258228513,19,43667,0.6536178811206381
infomap,2.377817258228513,19,55824,0.6532288411742192
infomap,2.377817258228513,18,14480,0.65505981375284
infomap,2.377817258228513,18,57991,0.6529287318986783
infomap,2.377817258228513,18,54596,0.6529287318986783
infomap,2.377817258228513,19,50180,0.653458125733313
infomap,2.377817258228513,18,50469,0.6527990160318698
infomap,4.481404746557166,32,43667,0.6378391391321816
infomap,4.481404746557166,32,55824,0.6378391391321816
infomap,4.481404746557166,32,14480,0.6378391391321816
infomap,4.481404746557166,32,57991,0.6378391391321816
infomap,4.481404746557166,32,54596,0.6378391391321816
infomap,4.481404746557166,32,50180,0.6378391391321816
infomap,4.481404746557166,32,50469,0.6378391391321816
infomap,8.445976423531825,36,43667,0.6371391782252092
infomap,8.445976423531825,36,55824,0.6371391782252092
infomap,8.445976423531825,36,14480,0.6371391782252092
infomap,8.445976423531825,36,57991,0.6371391782252092
infomap,8.445976423531825,36,54596,0.6371391782252092
infomap,8.445976423531825,36,50180,0.6371391782252092
infomap,8.445976423531825,36,50469,0.6371391782252092
infomap,15.917892219322097,42,43667,0.634441250360938
infomap,15.917892219322097,42,55824,0.634441250360938
infomap,15.917892219322097,42,14480,0.634441250360938
infomap,15.917892219322097,42,57991,0.634441250360938
infomap,15.917892219322097,42,54596,0.634441250360938
infomap,15.917892219322097,42,50180,0.634441250360938
infomap,15.917892219322097,42,50469,0.634441250360938
infomap,30.0,472,43667,-0.003920001611849332
infomap,30.0,472,55824,-0.003920001611849332
infomap,30.0,472,14480,-0.003920001611849332
infomap,30.0,472,57991,-0.003920001611849332
infomap,30.0,472,54596,-0.003920001611849332
infomap,30.0,472,50180,-0.003920001611849332
infomap,30.0,472,50469,-0.003920001611849332
leiden,0.1,3,43667,0.0013665191366811409
leiden,0.1,3,55824,0.0013665191366811409
leiden,0.1,3,14480,0.0013665191366811409
leiden,0.1,3,57991,0.0013665191366811409
leiden,0.1,3,54596,0.0013665191366811409
leiden,0.1,3,50180,0.0013665191366811409
leiden,0.1,3,50469,0.0013665191366811409
leiden,0.18846716378431197,4,43667,0.41362018884066
leiden,0.18846716378431197,3,55824,0.39722433998705575
leiden,0.18846716378431197,3,14480,0.37710469946316194
leiden,0.18846716378431197,3,57991,0.3739793836240314
leiden,0.18846716378431197,3,54596,0.3964109449403631
leiden,0.18846716378431197,4,50180,0.41212196952892427
leiden,0.18846716378431197,3,50469,0.3739793836240314
leiden,0.3551987182490266,6,43667,0.600678308170737
leiden,0.3551987182490266,7,55824,0.5936342283286377
leiden,0.3551987182490266,8,14480,0.5926747202747226
leiden,0.3551987182490266,7,57991,0.593739824389272
leiden,0.3551987182490266,7,54596,0.589235077261108
leiden,0.3551987182490266,7,50180,0.5929269218280591
leiden,0.3551987182490266,7,50469,0.5883444787053485
leiden,0.6694329500821696,11,43667,0.6594348537945354
leiden,0.6694329500821696,11,55824,0.6608778801615566
leiden,0.6694329500821696,11,14480,0.6625242552804895
leiden,0.6694329500821696,11,57991,0.6610742339754314
leiden,0.6694329500821696,11,54596,0.6546733314102967
leiden,0.6694329500821696,11,50180,0.6622689108703641
leiden,0.6694329500821696,11,50469,0.6628016413486283
leiden,1.2616612944575138,15,43667,0.6611513866178054
leiden,1.2616612944575138,15,55824,0.6627590401028991
leiden,1.2616612944575138,16,14480,0.6600012491222872
leiden,1.2616612944575138,14,57991,0.6627312096954974
leiden,1.2616612944575138,15,54596,0.6615724005662071
leiden,1.2616612944575138,14,50180,0.6601169429723587
leiden,1.2616612944575138,15,50469,0.6615601642667323
leiden,2.377817258228513,25,43667,0.6096240731934475
leiden,2.377817258228513,25,55824,0.6283908577295
leiden,2.377817258228513,23,14480,0.613835259880574
leiden,2.377817258228513,22,57991,0.6357298949562912
leiden,2.377817258228513,23,54596,0.6131927683522851
leiden,2.377817258228513,24,50180,0.6324958992898806
leiden,2.377817258228513,24,50469,0.6099622580143947
leiden,4.481404746557166,39,43667,0.5093743558689969
leiden,4.481404746557166,36,55824,0.5132742039125955
leiden,4.481404746557166,40,14480,0.5048485181811116
leiden,4.481404746557166,40,57991,0.5053713080241024
leiden,4.481404746557166,40,54596,0.5051370572467053
leiden,4.481404746557166,37,50180,0.5148387258312453
leiden,4.481404746557166,39,50469,0.5075240688355757
leiden,8.445976423531825,70,43667,0.4344766740027056
leiden,8.445976423531825,72,55824,0.436523263123472
leiden,8.445976423531825,72,14480,0.43253822479055826
leiden,8.445976423531825,73,57991,0.4267407473411946
leiden,8.445976423531825,72,54596,0.42707202353310747
leiden,8.445976423531825,73,50180,0.43130025162352065
leiden,8.445976423531825,71,50469,0.4329560561051358
leiden,15.917892219322097,118,43667,0.310331874622786
leiden,15.917892219322097,118,55824,0.30923352758501305
leiden,15.917892219322097,117,14480,0.31040425451903714
leiden,15.917892219322097,118,57991,0.30942920337024904
leiden,15.917892219322097,118,54596,0.3090866973959921
leiden,15.917892219322097,119,50180,0.3083165696493772
leiden,15.917892219322097,118,50469,0.30894598630505204
leiden,30.0,177,43667,0.21717573596534195
leiden,30.0,177,55824,0.21665762711790185
leiden,30.0,177,14480,0.21665762711790185
leiden,30.0,178,57991,0.21542654952422313
