algorithm,resolution,score,score_type
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.18846716378431197,1.0,AMI
infomap,0.18846716378431197,1.0,NMI
infomap,0.3551987182490266,0.8521593704133571,AMI
infomap,0.3551987182490266,0.8638782699244261,NMI
infomap,0.3551987182490266,0.6730513790267714,AMI
infomap,0.3551987182490266,0.6863196205585718,NMI
infomap,0.3551987182490266,0.7145351339464014,AMI
infomap,0.3551987182490266,0.728014932667316,NMI
infomap,0.3551987182490266,0.6457646440807961,AMI
infomap,0.3551987182490266,0.6639307417047756,NMI
infomap,0.3551987182490266,0.7034092558119472,AMI
infomap,0.3551987182490266,0.7190451131594203,NMI
infomap,0.3551987182490266,0.7329333438070718,AMI
infomap,0.3551987182490266,0.7459241795442811,NMI
infomap,0.3551987182490266,0.6530258967588839,AMI
infomap,0.3551987182490266,0.6710334028814352,NMI
infomap,0.3551987182490266,0.6354497121421866,AMI
infomap,0.3551987182490266,0.658014443118165,NMI
infomap,0.3551987182490266,0.8164449400146706,AMI
infomap,0.3551987182490266,0.8270493891340663,NMI
infomap,0.3551987182490266,0.8321232694682276,AMI
