model_1,model_2,dimension,wasserstein
configuration_model_0,enhanced_configuration_model_13,1,222.73863607376254
configuration_model_0,enhanced_configuration_model_13,2,38.18376618407357
configuration_model_0,enhanced_configuration_model_14,0,6443.15699017182
configuration_model_0,enhanced_configuration_model_14,1,222.73863607376254
configuration_model_0,enhanced_configuration_model_14,2,38.18376618407357
configuration_model_0,enhanced_configuration_model_15,0,4265.080766595719
configuration_model_0,enhanced_configuration_model_15,1,222.73863607376254
configuration_model_0,enhanced_configuration_model_15,2,38.18376618407357
configuration_model_0,enhanced_configuration_model_16,0,5092.993680330425
configuration_model_0,enhanced_configuration_model_16,1,222.73863607376254
configuration_model_0,enhanced_configuration_model_16,2,38.18376618407357
configuration_model_0,enhanced_configuration_model_17,0,2272.2528470852453
configuration_model_0,enhanced_configuration_model_17,1,227.19762660952324
configuration_model_0,enhanced_configuration_model_17,2,38.18376618407357
configuration_model_0,enhanced_configuration_model_18,0,2734.558546357516
configuration_model_0,enhanced_configuration_model_18,1,222.73863607376254
configuration_model_0,enhanced_configuration_model_18,2,38.18376618407357
configuration_model_0,enhanced_configuration_model_19,0,6058.570590989559
configuration_model_0,enhanced_configuration_model_19,1,222.73863607376254
configuration_model_0,enhanced_configuration_model_19,2,38.18376618407357
configuration_model_0,enhanced_configuration_model_20,0,3437.263121756881
configuration_model_0,enhanced_configuration_model_20,1,222.73863607376254
configuration_model_0,enhanced_configuration_model_20,2,38.18376618407357
configuration_model_0,enhanced_configuration_model_21,0,3632.228819405107
configuration_model_0,enhanced_configuration_model_21,1,222.73863607376254
configuration_model_0,enhanced_configuration_model_21,2,38.18376618407357
configuration_model_0,enhanced_configuration_model_22,0,6443.15699017182
configuration_model_0,enhanced_configuration_model_22,1,222.73863607376254
configuration_model_0,enhanced_configuration_model_22,2,38.18376618407357
configuration_model_0,enhanced_configuration_model_23,0,5801.041587013926
configuration_model_0,enhanced_configuration_model_23,1,222.73863607376254
configuration_model_0,enhanced_configuration_model_23,2,38.18376618407357
configuration_model_0,enhanced_configuration_model_24,0,6251.217343971284
configuration_model_0,enhanced_configuration_model_24,1,222.73863607376254
configuration_model_0,enhanced_configuration_model_24,2,38.18376618407357
_hidalgo_disparity_filtration.csv,configuration_model_1,0,816.050865276332
_hidalgo_disparity_filtration.csv,configuration_model_1,1,192.2751687990929
_hidalgo_disparity_filtration.csv,configuration_model_1,2,67.88225099390857
configuration_model_1,configuration_model_2,0,94.46803743153548
configuration_model_1,configuration_model_2,1,53.13351365237938
configuration_model_1,configuration_model_2,2,6.242640687119286
configuration_model_1,configuration_model_3,0,22.0
configuration_model_1,configuration_model_3,1,37.09188309203678
configuration_model_1,configuration_model_3,2,12.899494936611669
configuration_model_1,configuration_model_4,0,146.10764773832474
configuration_model_1,configuration_model_4,1,35.69848480983499
configuration_model_1,configuration_model_4,2,16.970562748477146
configuration_model_1,configuration_model_5,0,79.46803743153548
configuration_model_1,configuration_model_5,1,25.779271744364845
configuration_model_1,configuration_model_5,2,14.142135623730955
configuration_model_1,configuration_model_6,0,80.05382386916237
configuration_model_1,configuration_model_6,1,57.11269837220806
configuration_model_1,configuration_model_6,2,23.334523779156065
configuration_model_1,configuration_model_7,0,73.46803743153548
configuration_model_1,configuration_model_7,1,33.25416075220516
configuration_model_1,configuration_model_7,2,28.33452377915608
configuration_model_1,configuration_model_8,0,79.58935777509511
configuration_model_1,configuration_model_8,1,54.42640687119283
configuration_model_1,configuration_model_8,2,6.3639610306789285
configuration_model_1,configuration_model_9,0,78.05382386916237
configuration_model_1,configuration_model_9,1,19.19238815542512
configuration_model_1,configuration_model_9,2,28.45584412271572
configuration_model_1,configuration_model_10,0,82.05382386916237
configuration_model_1,configuration_model_10,1,87.80955782788992
configuration_model_1,configuration_model_10,2,44.8406204335659
configuration_model_1,configuration_model_11,0,17.0
configuration_model_1,configuration_model_11,1,81.85478925623121
configuration_model_1,configuration_model_11,2,59.689862838483364
configuration_model_1,configuration_model_12,0,148.10764773832474
configuration_model_1,configuration_model_12,1,33.50609665440987
configuration_model_1,configuration_model_12,2,9.485281374238571
configuration_model_1,configuration_model_13,0,17.0
configuration_model_1,configuration_model_13,1,40.33452377915607
configuration_model_1,configuration_model_13,2,21.798989873223327
configuration_model_1,configuration_model_14,0,17.0
configuration_model_1,configuration_model_14,1,71.81545729377557
configuration_model_1,configuration_model_14,2,45.25483399593902
configuration_model_1,configuration_model_15,0,22.0
configuration_model_1,configuration_model_15,1,35.378203601230744
configuration_model_1,configuration_model_15,2,10.949747468305834
configuration_model_1,configuration_model_16,0,160.10764773832474
configuration_model_1,configuration_model_16,1,63.19800875462537
configuration_model_1,configuration_model_16,2,28.991378028648434
configuration_model_1,configuration_model_17,0,21.0
configuration_model_1,configuration_model_17,1,30.020815280171302
configuration_model_1,configuration_model_17,2,6.3639610306789285
configuration_model_1,configuration_model_18,0,146.35028842544403
configuration_model_1,configuration_model_18,1,37.57716446627535
configuration_model_1,configuration_model_18,2,16.8492424049175
configuration_model_1,configuration_model_19,0,89.46803743153548
configuration_model_1,configuration_model_19,1,32.16295090390225
configuration_model_1,configuration_model_19,2,25.62741699796952
