nocues,nhog,v182caes,v183ciuo,ponderation,sex_id,public_worker,total_income,age,nivel_ed
44.0,1.0,8501,12341,599.0,2,1,8.699681400989514,61.0,9.0
44.0,1.0,4502,17231,599.0,1,2,6.55250788703459,59.0,3.0
44.0,1.0,4807,19112,599.0,1,2,6.2166061010848646,26.0,5.0
44.0,1.0,4804,15223,599.0,1,2,6.2166061010848646,23.0,5.0
45.0,1.0,9700,15311,322.0,2,2,7.170888478512505,37.0,4.0
45.0,1.0,9700,19111,322.0,2,2,8.160803920954665,40.0,3.0
45.0,1.0,4000,17412,322.0,1,2,8.294299608857235,34.0,5.0
45.0,1.0,4502,19122,322.0,1,2,7.601402334583733,24.0,3.0
46.0,1.0,8402,15412,801.0,1,1,9.15915233520675,25.0,5.0
47.0,1.0,9700,15322,460.0,2,2,8.343077871169383,71.0,2.0
47.0,1.0,8401,17112,460.0,1,1,7.346655163176539,47.0,3.0
47.0,1.0,8401,19112,460.0,2,1,5.525452939131784,37.0,3.0
48.0,1.0,5601,15131,523.0,1,2,8.921591063563978,45.0,4.0
49.0,1.0,8501,19112,522.0,2,1,8.39660622842712,70.0,2.0
50.0,1.0,4901,17412,456.0,1,2,8.465689348549121,83.0,3.0
51.0,1.0,8501,15153,312.0,2,1,8.684231891345675,54.0,5.0
51.0,1.0,4000,17112,312.0,1,2,8.060224240440958,31.0,5.0
52.0,1.0,4000,17112,428.0,1,2,7.65491704784832,23.0,5.0
52.0,1.0,9700,15311,428.0,2,2,7.224753405767971,21.0,4.0
53.0,1.0,8402,15412,469.0,1,1,9.158731238242952,36.0,5.0
54.0,1.0,4000,17112,591.0,1,2,8.214465160759186,55.0,4.0
54.0,1.0,9700,19111,591.0,2,2,7.65491704784832,46.0,4.0
54.0,1.0,4000,17112,591.0,1,2,7.991253929840198,29.0,3.0
55.0,1.0,8501,12356,746.0,2,1,8.97638862194537,47.0,7.0
56.0,1.0,4807,15221,660.0,2,2,8.666302614004078,55.0,4.0
57.0,1.0,1100,18183,412.0,1,2,,60.0,4.0
58.0,1.0,1100,17233,604.0,1,2,6.398594934535208,47.0,5.0
