v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
1002,"Preparación de frutas, hortalizas y legumbres",C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",51988.13,51988.13,8.75,0.83,8.35,43.14,56.86,0.0,3.91,1.39,55.04,22.54,56.5
1003,Elaboración de productos lácteos,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",9710.83,9710.83,9.61,0.67,9.31,0.0,100.0,0.0,3.88,1.02,41.4,20.22,50.0
1009,Elaboración de productos alimenticios,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",388136.03,388136.03,8.38,0.94,8.49,46.13,53.87,0.0,4.08,1.76,41.95,16.42,40.0
1100,Elaboración de bebidas,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",53347.56,53347.56,8.74,0.74,8.41,12.04,87.96,0.0,4.18,0.94,40.39,17.18,46.0
1200,Elaboración de Productos de Tabaco,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.4980392156862745, 0.788235294117647, 0.4980392156862745, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2086.0,2086.0,7.5,0.0,7.5,0.0,100.0,0.0,3.0,0.0,46.77,7.5,46.5
1300,Fabricación de productos textiles,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",139615.3,139615.3,8.48,0.91,8.52,56.73,43.27,3.19,4.03,1.21,46.22,23.3,51.0
1400,Confección de prendas de vestir,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",437108.15,437108.15,8.26,0.84,8.32,85.35,14.65,2.81,3.75,1.56,60.34,19.31,62.0
1501,Curtido y terminación de cueros,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",40220.62,40220.62,8.58,0.52,8.51,21.24,78.76,2.93,3.79,1.63,53.72,14.37,52.0
1502,Fabricación de calzado y sus partes,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",91638.63,91638.63,8.33,0.72,8.1,55.72,44.28,3.55,3.93,1.28,41.64,17.67,36.0
1600,Producción de madera y materiales de construcción,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.7450980392156863, 0.6823529411764706, 0.8313725490196079, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",71130.85,71130.85,8.24,0.99,8.29,12.58,87.42,8.2,3.33,1.5,37.15,14.57,36.0
