algorithm,resolution,score,score_type
infomap,0.155077142093588,0.0,NMI
infomap,0.155077142093588,0.0,AMI
infomap,0.155077142093588,0.0,NMI
infomap,0.155077142093588,0.0,AMI
infomap,0.155077142093588,0.0,NMI
infomap,0.155077142093588,1.0,AMI
infomap,0.155077142093588,1.0,NMI
infomap,0.155077142093588,0.7962949942431067,AMI
infomap,0.155077142093588,0.8167391918110964,NMI
infomap,0.155077142093588,0.0,AMI
infomap,0.155077142093588,0.0,NMI
infomap,0.155077142093588,1.0,AMI
infomap,0.155077142093588,1.0,NMI
infomap,0.155077142093588,1.0,AMI
infomap,0.155077142093588,1.0,NMI
infomap,0.155077142093588,0.7962949942431067,AMI
infomap,0.155077142093588,0.8167391918110964,NMI
infomap,0.155077142093588,0.0,AMI
infomap,0.155077142093588,0.0,NMI
infomap,0.155077142093588,0.0,AMI
infomap,0.155077142093588,0.0,NMI
infomap,0.155077142093588,1.0,AMI
